ITEM: TIMESTEP
0
ITEM: NUMBER OF CELLS
60
ITEM: BOX BOUNDS oo pp pp
0 1
-0.5 0.5
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.00833333 0 1.50828e+21 0.523903 0.533936 272.92 
0.075 0 1.50827e+21 0.233245 -1.14063 272.638 
0.141667 0 1.50829e+21 -0.46394 -0.3707 273.142 
0.208333 0 1.50828e+21 0.106921 0.489253 272.638 
0.025 0 1.50828e+21 -0.103794 0.0151845 273.138 
0.0916667 0 1.50828e+21 -0.242851 -0.0899733 272.651 
0.158333 0 1.50828e+21 0.212753 0.668703 273.011 
0.225 0 1.50828e+21 -0.31578 -0.000892126 272.222 
0.0416667 0 1.50827e+21 -0.506093 0.741822 272.798 
0.108333 0 1.50828e+21 -0.362805 0.30628 272.99 
0.175 0 1.50828e+21 -0.706564 0.447602 272.61 
0.241667 0 1.50828e+21 0.333732 0.671216 271.99 
0.0583333 0 1.50828e+21 -1.05918 -0.363722 272.771 
0.125 0 1.50828e+21 1.28954 0.102993 273.273 
0.191667 0 1.50828e+21 -0.330238 0.776501 273.823 
0.291667 0 1.50828e+21 0.117307 1.38967 273.019 
0.358333 0 1.50828e+21 0.182103 -0.00914586 273.971 
0.425 0 1.50829e+21 -2.07903 -0.149168 273.04 
0.491667 0 1.50827e+21 0.823853 -0.520161 272.492 
0.275 0 1.50828e+21 -0.109014 0.30084 274.004 
0.341667 0 1.50829e+21 0.634891 0.844539 273.771 
0.408333 0 1.50828e+21 0.184961 -0.720359 272.174 
0.475 0 1.50828e+21 -0.787357 -0.560025 273.178 
0.308333 0 1.50827e+21 0.664325 0.061864 273.406 
0.375 0 1.50829e+21 -1.14995 -0.940408 273.246 
0.441667 0 1.50828e+21 0.10917 0.0986209 273.341 
0.258333 0 1.50827e+21 -0.46081 0.517669 273.213 
0.325 0 1.50829e+21 -0.332944 -0.0314383 273.366 
0.391667 0 1.50828e+21 -0.24672 -0.480419 272.614 
0.458333 0 1.50828e+21 0.0700945 -0.373083 272.409 
0.508333 0 1.88535e+20 1.1362 -0.502458 273.187 
0.575 0 1.88535e+20 0.477837 -0.905208 276.268 
0.641667 0 1.88535e+20 0.959668 -0.734509 274.21 
0.708333 0 1.88535e+20 2.59769 -2.02297 272.883 
0.541667 0 1.88535e+20 -2.05848 -0.934932 274.096 
0.608333 0 1.88535e+20 1.68673 -1.67737 273.365 
0.675 0 1.88535e+20 -1.91688 -3.88019 273.475 
0.741667 0 1.88535e+20 -2.3113 -1.82392 271.968 
0.558333 0 1.88535e+20 0.24361 0.242136 275.322 
0.625 0 1.88535e+20 -3.28006 0.455843 274.042 
0.691667 0 1.88535e+20 -0.947266 -0.775277 274.333 
0.525 0 1.88535e+20 -0.83308 1.4088 274.29 
0.591667 0 1.88535e+20 -1.07146 1.14054 272.987 
0.658333 0 1.88535e+20 -3.96133 2.50304 270.663 
0.725 0 1.88535e+20 0.685147 -0.943862 274.06 
0.791667 0 1.88535e+20 -0.690603 0.571928 273.483 
0.858333 0 1.88535e+20 -0.730696 -0.693041 273.349 
0.925 0 1.88535e+20 1.53345 1.26419 272.212 
0.991667 0 1.88535e+20 -0.643483 2.64551 273.697 
0.808333 0 1.88535e+20 0.0634753 -1.21053 273.26 
0.875 0 1.88535e+20 0.541704 0.707152 273.59 
0.941667 0 1.88535e+20 1.96063 1.49249 273.87 
0.758333 0 1.88535e+20 -0.812378 1.84768 273.615 
0.825 0 1.88535e+20 4.15706 3.6572 272.12 
0.891667 0 1.88535e+20 -4.1564 -2.24462 271.176 
0.958333 0 1.88535e+20 2.21771 1.26475 272.617 
0.775 0 1.88535e+20 -1.61629 0.0858101 272.872 
0.841667 0 1.88535e+20 0.539558 0.115975 273.026 
0.908333 0 1.88535e+20 1.63638 -1.28773 272.209 
0.975 0 1.88535e+20 0.69678 -2.95353 272.758 
