ITEM: TIMESTEP
0
ITEM: NUMBER OF CELLS
400
ITEM: BOX BOUNDS pp pp pp
0 1
0 1
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.025 0.025 5.18688e+20 -10.0364 10.5944 265.343 
0.225 0.025 5.18675e+20 -1.20233 60.1365 272.494 
0.425 0.025 5.18675e+20 9.96627 28.4554 264.127 
0.025 0.075 5.18688e+20 -29.5502 9.36436 265.346 
0.225 0.075 5.18701e+20 -4.02352 55.0669 272.499 
0.425 0.075 5.18701e+20 24.7564 26.1683 268.534 
0.025 0.125 5.18688e+20 -44.5262 7.78219 268.371 
0.225 0.125 5.18675e+20 -6.03555 43.3389 276.915 
0.425 0.125 5.18701e+20 39.2398 20.6605 270.675 
0.025 0.175 5.18688e+20 -53.9467 4.87208 270.208 
0.225 0.175 5.18688e+20 -9.5348 30.1672 280.778 
0.425 0.175 5.18675e+20 48.7323 13.7849 273.261 
0.025 0.225 5.18675e+20 -58.585 1.82152 272.707 
0.225 0.225 5.18701e+20 -9.66196 9.52101 281.638 
0.425 0.225 5.18688e+20 55.0278 3.99471 273.223 
0.025 0.275 5.18701e+20 -58.8343 -1.82627 274.365 
0.225 0.275 5.18675e+20 -8.77084 -9.58078 280.885 
0.425 0.275 5.18662e+20 53.7262 -2.05478 274.708 
0.025 0.325 5.18675e+20 -54.4809 -3.14229 272.755 
0.225 0.325 5.18714e+20 -9.17437 -28.5221 278.909 
0.425 0.325 5.18649e+20 49.2019 -10.7301 272.384 
0.025 0.375 5.18688e+20 -43.071 -7.01647 268.909 
0.225 0.375 5.18675e+20 -5.09316 -40.3202 277.299 
0.425 0.375 5.18688e+20 38.1497 -19.7239 270.855 
0.025 0.425 5.18675e+20 -26.2527 -9.15369 266.884 
0.225 0.425 5.18649e+20 -3.87554 -54.2731 273.034 
0.425 0.425 5.18701e+20 24.9184 -25.1654 266.454 
0.025 0.475 5.18675e+20 -10.5549 -9.14871 263.134 
0.225 0.475 5.18701e+20 -2.39003 -59.8805 273.578 
0.425 0.475 5.18688e+20 8.93773 -28.9693 264.997 
0.075 0.025 5.18675e+20 -8.28036 29.3794 267.675 
0.275 0.025 5.18688e+20 1.61679 59.8342 274.105 
0.475 0.025 5.18688e+20 9.41362 10.068 264.523 
0.075 0.075 5.18701e+20 -25.2146 27.8798 269.188 
0.275 0.075 5.18688e+20 4.91875 54.6798 275.052 
0.475 0.075 5.18662e+20 28.151 7.91263 264.404 
0.075 0.125 5.18688e+20 -38.0785 19.8518 268.436 
0.275 0.125 5.18649e+20 8.82519 42.3251 278.356 
0.475 0.125 5.18714e+20 44.5147 7.82449 268.338 
0.075 0.175 5.18675e+20 -48.5099 10.3491 272.644 
0.275 0.175 5.18701e+20 10.8205 27.9989 279.787 
0.475 0.175 5.18688e+20 53.541 2.56965 272.809 
0.075 0.225 5.18688e+20 -53.1501 3.76679 273.433 
0.275 0.225 5.18688e+20 10.6857 8.26063 278.996 
0.475 0.225 5.18688e+20 60.9049 2.50169 272.811 
0.075 0.275 5.18701e+20 -56.1843 -6.33703 275.92 
0.275 0.275 5.18649e+20 10.4167 -9.30313 281.223 
0.475 0.275 5.18727e+20 58.0778 -3.09776 271.38 
0.075 0.325 5.18662e+20 -48.5624 -12.3648 272.682 
0.275 0.325 5.18701e+20 9.06372 -28.5188 279.005 
0.475 0.325 5.18727e+20 55.698 -3.60377 271.759 
0.075 0.375 5.18714e+20 -36.2799 -18.5639 270.84 
0.275 0.375 5.18701e+20 7.14894 -43.6773 278.695 
0.475 0.375 5.18688e+20 44.3203 -9.45219 266.135 
0.075 0.425 5.18701e+20 -23.2919 -24.8753 268.493 
0.275 0.425 5.18701e+20 2.52851 -52.9607 274.626 
0.475 0.425 5.18675e+20 27.1099 -8.77728 266.593 
0.075 0.475 5.18701e+20 -9.00448 -27.8485 264.586 
0.275 0.475 5.18688e+20 0.803405 -59.0481 271.85 
0.475 0.475 5.18688e+20 8.20601 -10.1614 264.987 
0.125 0.025 5.18675e+20 -7.04354 42.1799 267.379 
0.325 0.025 5.18701e+20 4.08767 55.5406 271.076 
0.125 0.075 5.18688e+20 -17.8859 39.4593 270.955 
0.325 0.075 5.18662e+20 11.2762 48.0732 271.702 
0.125 0.125 5.18688e+20 -32.0591 32.4604 273.072 
0.325 0.125 5.18714e+20 21.3879 38.0804 275.971 
0.125 0.175 5.18688e+20 -38.122 18.288 275.109 
0.325 0.175 5.18688e+20 23.6111 25.3265 278.208 
0.125 0.225 5.18688e+20 -42.5689 6.05791 276.489 
0.325 0.225 5.18675e+20 28.2632 10.85 281.335 
0.125 0.275 5.18688e+20 -43.6562 -6.38683 276.897 
0.325 0.275 5.18701e+20 26.4065 -8.91818 281.398 
0.125 0.325 5.18701e+20 -40.401 -20.4583 274.766 
0.325 0.325 5.18675e+20 23.8051 -25.5917 276.738 
0.125 0.375 5.18675e+20 -30.0976 -31.8777 272.444 
0.325 0.375 5.18688e+20 18.0766 -37.2787 274.32 
0.125 0.425 5.18701e+20 -18.3987 -37.3232 268.028 
0.325 0.425 5.18675e+20 10.9319 -48.6552 273.242 
0.125 0.475 5.18688e+20 -7.35212 -42.107 269.884 
0.325 0.475 5.18675e+20 4.73951 -54.5372 272.882 
0.175 0.025 5.18688e+20 -5.55605 53.7817 270.909 
0.375 0.025 5.18688e+20 7.58113 42.6665 268.759 
0.175 0.075 5.18662e+20 -12.8073 48.4801 274.675 
0.375 0.075 5.18714e+20 20.3971 38.6399 271.959 
0.175 0.125 5.18701e+20 -19.624 39.3926 274.621 
0.375 0.125 5.18662e+20 31.5739 32.1652 274.608 
0.175 0.175 5.18701e+20 -24.647 24.4831 277.452 
0.375 0.175 5.18688e+20 38.8627 19.3408 278.487 
0.175 0.225 5.18662e+20 -28.4342 8.97492 279.389 
0.375 0.225 5.18701e+20 43.7718 7.43863 275.893 
0.175 0.275 5.18675e+20 -28.9901 -8.29931 279.649 
0.375 0.275 5.18688e+20 44.985 -4.93618 280.253 
0.175 0.325 5.18701e+20 -24.8295 -24.5672 276.055 
0.375 0.325 5.18714e+20 39.2201 -20.2653 275.644 
0.175 0.375 5.18688e+20 -18.3931 -39.6382 275.879 
0.375 0.375 5.18701e+20 33.7641 -30.0832 273.751 
0.175 0.425 5.18675e+20 -14.5284 -47.6697 272.229 
0.375 0.425 5.18675e+20 18.2638 -40.0043 272.166 
0.175 0.475 5.18701e+20 -5.40578 -55.6554 270.733 
0.375 0.475 5.18701e+20 7.16911 -45.3247 267.489 
0.075 0.525 5.18675e+20 8.70232 -27.6988 265.269 
0.275 0.525 5.18714e+20 -1.84438 -59.7775 272.578 
0.475 0.525 5.18701e+20 -8.11425 -10.1404 263.754 
0.075 0.575 5.18662e+20 24.2123 -26.3031 270.166 
0.275 0.575 5.18701e+20 -5.28868 -55.5848 274.129 
0.475 0.575 5.18688e+20 -27.6423 -8.23803 265.061 
0.075 0.625 5.18714e+20 39.4023 -19.8024 270.648 
0.275 0.625 5.18675e+20 -7.69113 -42.4567 276.962 
0.475 0.625 5.18688e+20 -40.5552 -7.55793 271.31 
0.075 0.675 5.18688e+20 49.0588 -11.5343 270.125 
0.275 0.675 5.18688e+20 -7.65328 -28.9163 280.128 
0.475 0.675 5.18688e+20 -54.4018 -6.00723 271.14 
0.075 0.725 5.18688e+20 53.313 -2.95133 275.903 
0.275 0.725 5.18688e+20 -10.296 -8.93185 284.505 
0.475 0.725 5.18688e+20 -59.4737 -2.41397 272.11 
0.075 0.775 5.18688e+20 54.1186 3.81459 276.193 
0.275 0.775 5.18688e+20 -11.0529 9.30848 282.333 
0.475 0.775 5.18688e+20 -58.5359 1.738 272.419 
0.075 0.825 5.18675e+20 49.5077 11.1685 272.503 
0.275 0.825 5.18688e+20 -7.34644 28.2536 279.067 
0.475 0.825 5.18701e+20 -54.6362 5.05863 272.467 
0.075 0.875 5.18701e+20 37.7235 20.7976 270.928 
0.275 0.875 5.18688e+20 -7.97944 45.2591 276.84 
