ITEM: TIMESTEP
200
ITEM: NUMBER OF CELLS
39332
ITEM: BOX BOUNDS oo ro pp
-3.788 3.788
0 3.788
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-3.77447 0.0135286 0 0 0 0 
-3.66624 0.0135286 0 0 0 0 
-3.55801 0.0135286 0 0 0 0 
-3.44979 0.0135286 0 0 0 0 
-3.34156 0.0135286 0 0 0 0 
-3.23333 0.0135286 0 0 0 0 
-3.1251 0.0135286 0 0 0 0 
-3.01687 0.0135286 0 0 0 0 
-2.90864 0.0135286 0 0 0 0 
-2.80041 0.0135286 0 0 0 0 
-2.69219 0.0135286 0 0 0 0 
-2.58396 0.0135286 0 0 0 0 
-2.47573 0.0135286 0 0 0 0 
-2.3675 0.0135286 0 0 0 0 
-2.25927 0.0135286 0 0 0 0 
-2.15104 0.0135286 0 0 0 0 
-2.04281 0.0135286 0 0 0 0 
-1.93459 0.0135286 0 0 0 0 
-3.77447 0.0405857 0 0 0 0 
-3.66624 0.0405857 0 0 0 0 
-3.55801 0.0405857 0 0 0 0 
-3.44979 0.0405857 0 0 0 0 
-3.34156 0.0405857 0 0 0 0 
-3.23333 0.0405857 0 0 0 0 
-3.1251 0.0405857 0 0 0 0 
-3.01687 0.0405857 0 0 0 0 
-2.90864 0.0405857 0 0 0 0 
-2.80041 0.0405857 0 0 0 0 
-2.69219 0.0405857 0 0 0 0 
-2.58396 0.0405857 0 0 0 0 
-2.47573 0.0405857 0 0 0 0 
-2.3675 0.0405857 0 0 0 0 
-2.25927 0.0405857 0 0 0 0 
-2.15104 0.0405857 0 0 0 0 
-2.04281 0.0405857 0 0 0 0 
-1.93459 0.0405857 0 0 0 0 
-3.77447 0.0676429 0 0 0 0 
-3.66624 0.0676429 0 0 0 0 
-3.55801 0.0676429 0 0 0 0 
-3.44979 0.0676429 0 0 0 0 
-3.34156 0.0676429 0 0 0 0 
-3.23333 0.0676429 0 0 0 0 
-3.1251 0.0676429 0 0 0 0 
-3.01687 0.0676429 0 0 0 0 
-2.90864 0.0676429 0 0 0 0 
-2.80041 0.0676429 0 0 0 0 
-2.69219 0.0676429 0 0 0 0 
-2.58396 0.0676429 0 0 0 0 
-2.47573 0.0676429 0 0 0 0 
-2.3675 0.0676429 0 0 0 0 
-2.25927 0.0676429 0 0 0 0 
-2.15104 0.0676429 0 0 0 0 
-2.04281 0.0676429 0 0 0 0 
-1.93459 0.0676429 0 0 0 0 
-3.77447 0.0947 0 0 0 0 
-3.66624 0.0947 0 0 0 0 
-3.55801 0.0947 0 0 0 0 
-3.44979 0.0947 0 0 0 0 
-3.34156 0.0947 0 0 0 0 
-3.23333 0.0947 0 0 0 0 
-3.1251 0.0947 0 0 0 0 
-3.01687 0.0947 0 0 0 0 
-2.90864 0.0947 0 0 0 0 
-2.80041 0.0947 0 0 0 0 
-2.69219 0.0947 0 0 0 0 
-2.58396 0.0947 0 0 0 0 
-2.47573 0.0947 0 0 0 0 
-2.3675 0.0947 0 0 0 0 
-2.25927 0.0947 0 0 0 0 
-2.15104 0.0947 0 0 0 0 
-2.04281 0.0947 0 0 0 0 
-1.93459 0.0947 0 0 0 0 
-3.77447 0.121757 0 0 0 0 
-3.66624 0.121757 0 0 0 0 
-3.55801 0.121757 0 0 0 0 
-3.44979 0.121757 0 0 0 0 
-3.34156 0.121757 0 0 0 0 
-3.23333 0.121757 0 0 0 0 
-3.1251 0.121757 0 0 0 0 
-3.01687 0.121757 0 0 0 0 
-2.90864 0.121757 0 0 0 0 
-2.80041 0.121757 0 0 0 0 
-2.69219 0.121757 0 0 0 0 
-2.58396 0.121757 0 0 0 0 
-2.47573 0.121757 0 0 0 0 
-2.3675 0.121757 0 0 0 0 
-2.25927 0.121757 0 0 0 0 
-2.15104 0.121757 0 0 0 0 
-2.04281 0.121757 0 0 0 0 
-1.93459 0.121757 0 0 0 0 
-3.77447 0.148814 0 0 0 0 
-3.66624 0.148814 0 0 0 0 
-3.55801 0.148814 0 0 0 0 
-3.44979 0.148814 0 0 0 0 
-3.34156 0.148814 0 0 0 0 
-3.23333 0.148814 0 0 0 0 
-3.1251 0.148814 0 0 0 0 
-3.01687 0.148814 0 0 0 0 
-2.90864 0.148814 0 0 0 0 
-2.80041 0.148814 0 0 0 0 
-2.69219 0.148814 0 0 0 0 
-2.58396 0.148814 0 0 0 0 
-2.47573 0.148814 0 0 0 0 
-2.3675 0.148814 0 0 0 0 
-2.25927 0.148814 0 0 0 0 
-2.15104 0.148814 0 0 0 0 
-2.04281 0.148814 0 0 0 0 
-1.93459 0.148814 0 0 0 0 
-3.77447 0.175871 0 0 0 0 
-3.66624 0.175871 0 0 0 0 
-3.55801 0.175871 0 0 0 0 
-3.44979 0.175871 0 0 0 0 
-3.34156 0.175871 0 0 0 0 
-3.23333 0.175871 0 0 0 0 
-3.1251 0.175871 0 0 0 0 
-3.01687 0.175871 0 0 0 0 
-2.90864 0.175871 0 0 0 0 
-2.80041 0.175871 0 0 0 0 
-2.69219 0.175871 0 0 0 0 
-2.58396 0.175871 0 0 0 0 
-2.47573 0.175871 0 0 0 0 
-2.3675 0.175871 0 0 0 0 
-2.25927 0.175871 0 0 0 0 
-2.15104 0.175871 0 0 0 0 
-2.04281 0.175871 0 0 0 0 
-1.93459 0.175871 0 0 0 0 
-3.77447 0.202929 0 0 0 0 
-3.66624 0.202929 0 0 0 0 
-3.55801 0.202929 0 0 0 0 
-3.44979 0.202929 0 0 0 0 
-3.34156 0.202929 0 0 0 0 
-3.23333 0.202929 0 0 0 0 
-3.1251 0.202929 0 0 0 0 
-3.01687 0.202929 0 0 0 0 
-2.90864 0.202929 0 0 0 0 
-2.80041 0.202929 0 0 0 0 
-2.69219 0.202929 0 0 0 0 
-2.58396 0.202929 0 0 0 0 
-2.47573 0.202929 0 0 0 0 
-2.3675 0.202929 0 0 0 0 
-2.25927 0.202929 0 0 0 0 
-2.15104 0.202929 0 0 0 0 
-2.04281 0.202929 0 0 0 0 
-1.93459 0.202929 0 0 0 0 
