ITEM: TIMESTEP
150000
ITEM: NUMBER OF CELLS
5184
ITEM: BOX BOUNDS ss ss pp
-1.7202e-05 1.7202e-05
-1.7202e-05 1.7202e-05
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-1.69631e-05 -1.69631e-05 2.68217e+25 0.0365244 -0.0351915 273.011 
-1.50517e-05 -1.69631e-05 2.68223e+25 0.0239907 0.010416 273.008 
-1.31404e-05 -1.69631e-05 2.68165e+25 -0.0461524 0.0313041 272.947 
-1.12291e-05 -1.69631e-05 2.68531e+25 -0.172626 0.0742361 272.569 
-9.31775e-06 -1.69631e-05 2.68648e+25 -0.122336 -0.0751646 272.694 
-7.40642e-06 -1.69631e-05 2.68526e+25 -0.0117094 -0.0160688 272.81 
-5.49508e-06 -1.69631e-05 2.68255e+25 -0.333705 -0.0120978 273.046 
-3.58375e-06 -1.69631e-05 2.68474e+25 0.0703047 0.0440697 272.984 
-1.67242e-06 -1.69631e-05 2.68407e+25 -0.248447 0.00551575 272.818 
-1.69631e-05 -1.64852e-05 2.68634e+25 -0.0395727 0.0152552 272.751 
-1.50517e-05 -1.64852e-05 2.68911e+25 -0.100637 -0.0475853 272.386 
-1.31404e-05 -1.64852e-05 2.68343e+25 -0.0697194 0.104159 272.72 
-1.12291e-05 -1.64852e-05 2.68453e+25 -0.097128 -0.0230012 272.62 
-9.31775e-06 -1.64852e-05 2.68807e+25 -0.18615 -0.191968 272.511 
-7.40642e-06 -1.64852e-05 2.69098e+25 0.237626 -0.039926 272.285 
-5.49508e-06 -1.64852e-05 2.68369e+25 -0.1973 0.0873672 272.648 
-3.58375e-06 -1.64852e-05 2.68989e+25 -0.0699606 0.0999579 272.421 
-1.67242e-06 -1.64852e-05 2.68644e+25 -0.367473 0.083884 272.764 
-1.69631e-05 -1.60074e-05 2.68721e+25 0.000494593 0.0298612 272.678 
-1.50517e-05 -1.60074e-05 2.68959e+25 -0.000354457 -0.0289009 272.305 
-1.31404e-05 -1.60074e-05 2.68796e+25 -0.12622 0.123365 272.557 
-1.12291e-05 -1.60074e-05 2.68872e+25 -0.0691913 -0.203054 272.371 
-9.31775e-06 -1.60074e-05 2.6876e+25 -0.108887 -0.148537 272.415 
-7.40642e-06 -1.60074e-05 2.69146e+25 -0.0668514 -0.0450221 272.051 
-5.49508e-06 -1.60074e-05 2.68714e+25 -0.368853 -0.0483342 272.471 
-3.58375e-06 -1.60074e-05 2.69116e+25 -0.187556 -0.00093842 272.325 
-1.67242e-06 -1.60074e-05 2.68386e+25 -0.753536 0.0844333 272.851 
-1.69631e-05 -1.55296e-05 2.68438e+25 -0.0264588 0.0521605 272.844 
-1.50517e-05 -1.55296e-05 2.69266e+25 -0.0851936 0.0949346 272.173 
