TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=BLOCK
-1.69631e-05 -1.69631e-05 2.68262e+25 0.151356 0.023149 273.069 
-1.50517e-05 -1.69631e-05 2.68535e+25 0.189425 -0.0340475 272.873 
-1.31404e-05 -1.69631e-05 2.68269e+25 -0.453073 -0.295601 273.085 
-1.12291e-05 -1.69631e-05 2.67886e+25 -0.1695 0.242319 272.825 
-9.31775e-06 -1.69631e-05 2.69346e+25 -0.511484 0.216912 272.278 
-7.40642e-06 -1.69631e-05 2.68865e+25 -0.37386 -0.125346 272.649 
-5.49508e-06 -1.69631e-05 2.67623e+25 -0.414877 -0.195992 273.864 
-3.58375e-06 -1.69631e-05 2.67669e+25 -0.00810108 -0.338073 273.178 
-1.67242e-06 -1.69631e-05 2.66868e+25 -0.902943 0.0419299 273.876 
-1.69631e-05 -1.64852e-05 2.68109e+25 -0.326055 0.0698908 272.577 
-1.50517e-05 -1.64852e-05 2.69412e+25 0.138432 -0.124261 271.747 
-1.31404e-05 -1.64852e-05 2.68425e+25 -0.681521 -0.074751 272.275 
-1.12291e-05 -1.64852e-05 2.68354e+25 -1.10077 0.125599 272.587 
-9.31775e-06 -1.64852e-05 2.69362e+25 -0.956394 0.76344 272.15 
-7.40642e-06 -1.64852e-05 2.69693e+25 0.170306 -0.552019 271.955 
-5.49508e-06 -1.64852e-05 2.68096e+25 0.140689 0.102631 272.638 
-3.58375e-06 -1.64852e-05 2.68701e+25 -0.393265 -0.313191 272.494 
-1.67242e-06 -1.64852e-05 2.67528e+25 -1.70083 -0.307368 273.404 
-1.69631e-05 -1.60074e-05 2.68925e+25 -0.0309851 0.398672 272.538 
-1.50517e-05 -1.60074e-05 2.69341e+25 -0.0547995 0.0965538 272.312 
-1.31404e-05 -1.60074e-05 2.69838e+25 -0.238934 0.168308 271.779 
-1.12291e-05 -1.60074e-05 2.6925e+25 -1.26089 -0.102668 271.623 
-9.31775e-06 -1.60074e-05 2.67929e+25 -0.344112 0.430647 272.952 
-7.40642e-06 -1.60074e-05 2.69332e+25 1.08633 -1.2296 271.529 
-5.49508e-06 -1.60074e-05 2.68307e+25 -0.692186 0.246146 272.591 
-3.58375e-06 -1.60074e-05 2.68299e+25 -0.646672 0.192927 272.205 
-1.67242e-06 -1.60074e-05 2.66139e+25 -2.69649 0.00225277 273.636 
-1.69631e-05 -1.55296e-05 2.69318e+25 -0.104415 0.38458 272.529 
-1.50517e-05 -1.55296e-05 2.68512e+25 0.470433 0.0134492 272.731 
-1.31404e-05 -1.55296e-05 2.69414e+25 -0.34533 0.472873 271.851 
-1.12291e-05 -1.55296e-05 2.69288e+25 -1.00012 -0.401641 271.897 
-9.31775e-06 -1.55296e-05 2.68447e+25 -0.885219 0.158711 272.809 
-7.40642e-06 -1.55296e-05 2.68624e+25 0.842352 -0.927628 272.418 
-5.49508e-06 -1.55296e-05 2.69542e+25 -2.07272 0.148288 271.646 
-3.58375e-06 -1.55296e-05 2.69529e+25 -1.58017 0.609809 272.374 
-1.67242e-06 -1.55296e-05 2.68289e+25 -1.84911 0.264778 273.356 
-1.69631e-05 -1.50517e-05 2.68897e+25 0.259049 0.353099 272.985 
-1.50517e-05 -1.50517e-05 2.68809e+25 -0.0425187 0.214648 272.501 
-1.31404e-05 -1.50517e-05 2.68538e+25 -0.269872 1.17355 272.259 
-1.12291e-05 -1.50517e-05 2.68943e+25 -0.659062 -0.608175 272.374 
-9.31775e-06 -1.50517e-05 2.68458e+25 -0.808966 0.00915083 272.61 
-7.40642e-06 -1.50517e-05 2.68779e+25 -0.978413 0.794728 272.064 
-5.49508e-06 -1.50517e-05 2.68958e+25 -1.75277 0.279203 272.08 
-3.58375e-06 -1.50517e-05 2.6931e+25 -2.61204 0.533572 271.81 
-1.67242e-06 -1.50517e-05 2.68523e+25 -0.856652 0.401611 272.735 
-1.69631e-05 -1.45739e-05 2.69628e+25 0.106703 0.00594641 272.252 
-1.50517e-05 -1.45739e-05 2.69583e+25 0.875499 -0.0245426 271.974 
-1.31404e-05 -1.45739e-05 2.68273e+25 -0.908986 1.31051 272.83 
-1.12291e-05 -1.45739e-05 2.67407e+25 -0.0289732 -0.757145 273.306 
-9.31775e-06 -1.45739e-05 2.68406e+25 -0.674606 0.0456598 272.406 
-7.40642e-06 -1.45739e-05 2.67769e+25 -2.58124 0.785099 273.081 
-5.49508e-06 -1.45739e-05 2.69209e+25 -1.00803 0.128192 272.372 
-3.58375e-06 -1.45739e-05 2.68676e+25 -2.2248 0.0642844 271.701 
-1.67242e-06 -1.45739e-05 2.67515e+25 -0.711267 0.347497 273.161 
-1.69631e-05 -1.40961e-05 2.6889e+25 -0.0334777 -0.252176 272.821 
-1.50517e-05 -1.40961e-05 2.67886e+25 0.396082 -0.373368 272.601 
-1.31404e-05 -1.40961e-05 2.68954e+25 -1.16 1.70067 272.556 
-1.12291e-05 -1.40961e-05 2.68505e+25 -0.100594 -0.729704 272.343 
-9.31775e-06 -1.40961e-05 2.68123e+25 -1.21957 0.121812 272.256 
-7.40642e-06 -1.40961e-05 2.67379e+25 -2.57365 0.254729 273.791 
-5.49508e-06 -1.40961e-05 2.68755e+25 -1.86728 0.646167 271.83 
-3.58375e-06 -1.40961e-05 2.69286e+25 -1.30581 -0.127113 271.792 
-1.67242e-06 -1.40961e-05 2.68217e+25 -0.858825 0.479211 273.024 
-1.69631e-05 -1.36182e-05 2.6829e+25 -0.206002 -0.0839402 273.209 
-1.50517e-05 -1.36182e-05 2.69624e+25 -0.19745 0.203751 271.554 
-1.31404e-05 -1.36182e-05 2.69504e+25 -0.613004 1.25212 271.837 
-1.12291e-05 -1.36182e-05 2.67967e+25 -0.720034 -0.532224 272.766 
-9.31775e-06 -1.36182e-05 2.67827e+25 -0.491719 -0.065759 272.834 
-7.40642e-06 -1.36182e-05 2.68422e+25 -2.32356 0.15499 272.814 
-5.49508e-06 -1.36182e-05 2.68714e+25 -1.47536 0.179843 272.262 
-3.58375e-06 -1.36182e-05 2.69139e+25 -1.39987 0.165186 271.816 
-1.67242e-06 -1.36182e-05 2.67954e+25 -1.42496 0.853209 273.213 
-1.69631e-05 -1.31404e-05 2.69005e+25 0.437649 -0.26502 272.749 
-1.50517e-05 -1.31404e-05 2.69975e+25 1.09812 0.509689 271.523 
-1.31404e-05 -1.31404e-05 2.69366e+25 0.870311 1.57336 271.568 
-1.12291e-05 -1.31404e-05 2.67385e+25 -1.11239 -0.379562 273.262 
-9.31775e-06 -1.31404e-05 2.68087e+25 -1.41735 -0.20032 272.839 
