TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.6963e-05,-1.6963e-05,2.6826e+25,0.15136,0.023149,273.07
-1.6963e-05,-1.6485e-05,2.6811e+25,-0.32605,0.069891,272.58
-1.6963e-05,-1.6007e-05,2.6893e+25,-0.030985,0.39867,272.54
-1.6963e-05,-1.553e-05,2.6932e+25,-0.10441,0.38458,272.53
-1.6963e-05,-1.5052e-05,2.689e+25,0.25905,0.3531,272.99
-1.6963e-05,-1.4574e-05,2.6963e+25,0.1067,0.0059464,272.25
-1.6963e-05,-1.4096e-05,2.6889e+25,-0.033478,-0.25218,272.82
-1.6963e-05,-1.3618e-05,2.6829e+25,-0.206,-0.08394,273.21
-1.6963e-05,-1.314e-05,2.6901e+25,0.43765,-0.26502,272.75
-1.6963e-05,-1.2663e-05,2.6828e+25,0.46278,-1.252,272.74
-1.6963e-05,-1.2185e-05,2.6879e+25,-0.26681,-1.5879,272.54
-1.6963e-05,-1.1707e-05,2.6897e+25,-0.0076284,-1.4023,272.17
-1.6963e-05,-1.1229e-05,2.6817e+25,0.015709,-1.2789,272.94
-1.6963e-05,-1.0751e-05,2.6902e+25,-0.88229,-0.22438,271.72
-1.6963e-05,-1.0273e-05,2.691e+25,-0.25321,0.94415,272.15
-1.6963e-05,-9.7956e-06,2.6938e+25,0.39776,0.87697,272.2
-1.6963e-05,-9.3178e-06,2.692e+25,0.058641,0.29485,272.83
-1.6963e-05,-8.8399e-06,2.6858e+25,-0.0026677,0.29217,272.85
-1.6963e-05,-8.3621e-06,2.6886e+25,0.18175,0.07085,272.59
-1.6963e-05,-7.8842e-06,2.6833e+25,0.21447,0.00016092,272.34
-1.6963e-05,-7.4064e-06,2.6821e+25,-0.39952,0.088422,272.19
-1.6963e-05,-6.9286e-06,2.6803e+25,-0.027454,0.42884,272.97
-1.6963e-05,-6.4508e-06,2.6796e+25,-0.05032,0.73711,273.35
-1.6963e-05,-5.9729e-06,2.6765e+25,0.036407,0.89928,273.54
-1.6963e-05,-5.4951e-06,2.6722e+25,0.19612,0.58535,273.06
-1.6963e-05,-5.0173e-06,2.6656e+25,0.040576,0.25363,273.44
-1.6963e-05,-4.5394e-06,2.6844e+25,-0.073056,0.2034,272.67
-1.6963e-05,-4.0616e-06,2.6942e+25,-0.21008,0.39207,271.92
-1.6963e-05,-3.5838e-06,2.6834e+25,0.021427,0.80225,271.79
-1.6963e-05,-3.1059e-06,2.6896e+25,-0.18759,1.1286,272.31
-1.6963e-05,-2.6281e-06,2.6919e+25,0.47845,0.90399,272.63
-1.6963e-05,-2.1502e-06,2.6781e+25,0.37557,0.2449,272.66
-1.6963e-05,-1.6724e-06,2.6852e+25,-0.31749,0.16175,273.37
