TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.6963e-05,-1.6963e-05,2.6833e+25,0.027227,-0.014604,273
-1.6963e-05,-1.6485e-05,2.684e+25,-0.0072651,-0.024175,272.82
-1.6963e-05,-1.6007e-05,2.6851e+25,-0.01039,-0.019556,272.77
-1.6963e-05,-1.553e-05,2.6843e+25,-0.016595,0.017698,272.81
-1.6963e-05,-1.5052e-05,2.6849e+25,0.015241,0.01015,272.82
-1.6963e-05,-1.4574e-05,2.6858e+25,0.015681,-0.027057,272.75
-1.6963e-05,-1.4096e-05,2.6849e+25,0.033103,-0.079555,272.79
-1.6963e-05,-1.3618e-05,2.6846e+25,-0.015383,-0.076659,272.76
-1.6963e-05,-1.314e-05,2.6847e+25,-0.0040593,-0.04444,272.82
-1.6963e-05,-1.2663e-05,2.6841e+25,0.0040301,-0.04171,272.81
-1.6963e-05,-1.2185e-05,2.6849e+25,0.014391,-0.053127,272.81
-1.6963e-05,-1.1707e-05,2.6847e+25,0.027262,-0.092988,272.83
-1.6963e-05,-1.1229e-05,2.6851e+25,-0.027522,-0.08161,272.74
-1.6963e-05,-1.0751e-05,2.6846e+25,0.012854,-0.073919,272.75
-1.6963e-05,-1.0273e-05,2.6843e+25,-0.0372,-0.026037,272.8
-1.6963e-05,-9.7956e-06,2.6853e+25,-0.0223,0.042993,272.77
-1.6963e-05,-9.3178e-06,2.6858e+25,-0.0023951,0.064713,272.71
-1.6963e-05,-8.8399e-06,2.6837e+25,-0.01012,0.10237,272.83
-1.6963e-05,-8.3621e-06,2.6844e+25,-0.010695,0.13502,272.88
-1.6963e-05,-7.8842e-06,2.6852e+25,-0.014582,0.15818,272.82
-1.6963e-05,-7.4064e-06,2.6852e+25,0.028978,0.13965,272.8
-1.6963e-05,-6.9286e-06,2.6854e+25,0.02341,0.096954,272.77
-1.6963e-05,-6.4508e-06,2.6853e+25,-0.029535,0.13999,272.74
-1.6963e-05,-5.9729e-06,2.6853e+25,-0.027199,0.19326,272.78
-1.6963e-05,-5.4951e-06,2.684e+25,0.033856,0.20066,272.82
-1.6963e-05,-5.0173e-06,2.6851e+25,0.0018203,0.18005,272.78
-1.6963e-05,-4.5394e-06,2.6845e+25,-0.0073897,0.18727,272.79
-1.6963e-05,-4.0616e-06,2.6843e+25,0.017612,0.18533,272.81
-1.6963e-05,-3.5838e-06,2.6854e+25,-0.029912,0.20509,272.75
-1.6963e-05,-3.1059e-06,2.6838e+25,-0.017413,0.28173,272.85
-1.6963e-05,-2.6281e-06,2.6844e+25,0.0064822,0.32718,272.75
-1.6963e-05,-2.1502e-06,2.6843e+25,0.00024615,0.34506,272.81
-1.6963e-05,-1.6724e-06,2.6847e+25,-0.02635,0.37684,272.81
-1.6963e-05,-1.1946e-06,2.684e+25,0.033142,0.35597,272.78
-1.6963e-05,-7.1675e-07,2.6841e+25,-0.022208,0.36524,272.79
-1.6963e-05,-2.3892e-07,2.6821e+25,0.015078,0.39396,272.79
-1.6963e-05,2.3892e-07,2.6819e+25,-0.050405,0.40064,272.78
-1.6963e-05,7.1675e-07,2.6846e+25,0.00209,0.45564,272.74
-1.6963e-05,1.1946e-06,2.6843e+25,-0.0096461,0.47945,272.76
-1.6963e-05,1.6724e-06,2.6829e+25,0.0061162,0.48547,272.79
-1.6963e-05,2.1502e-06,2.6828e+25,-0.011786,0.51277,272.8
-1.6963e-05,2.6281e-06,2.6829e+25,-0.024932,0.55749,272.82
-1.6963e-05,3.1059e-06,2.6817e+25,0.020856,0.55359,272.9
-1.6963e-05,3.5838e-06,2.6824e+25,0.027761,0.50642,272.84
