TITLE = "cavity_20000"
 VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
 ZONE T="cavity", I=100, J=100, K=1, F=POINT
-3.1217e-08 -3.1217e-08 2.6196e+25 -0.18738 0.26426 272.24
-3.1217e-08 -3.0082e-08 2.6235e+25 -0.21797 0.69032 272.56
-3.1217e-08 -2.8947e-08 2.6298e+25 -0.0053932 0.95102 272.17
-3.1217e-08 -2.7812e-08 2.6348e+25 -0.14423 0.98491 272.05
-3.1217e-08 -2.6677e-08 2.6332e+25 0.033837 1.1068 272.23
-3.1217e-08 -2.5542e-08 2.6358e+25 -0.13252 1.3623 272.31
-3.1217e-08 -2.4406e-08 2.635e+25 -0.2302 1.5972 272.31
-3.1217e-08 -2.3271e-08 2.6363e+25 0.079842 1.6975 272.13
-3.1217e-08 -2.2136e-08 2.6368e+25 -0.031108 1.7657 272.09
-3.1217e-08 -2.1001e-08 2.6342e+25 -0.16249 2.002 272.07
-3.1217e-08 -1.9866e-08 2.6339e+25 -0.0013028 2.2106 272.2
-3.1217e-08 -1.873e-08 2.633e+25 -0.085508 2.3557 272.18
-3.1217e-08 -1.7595e-08 2.6343e+25 -0.1134 2.4938 272.42
-3.1217e-08 -1.646e-08 2.6322e+25 -0.052853 2.6284 272.63
-3.1217e-08 -1.5325e-08 2.6357e+25 -0.16169 2.8479 272.32
-3.1217e-08 -1.419e-08 2.637e+25 -0.088977 3.2171 272.01
-3.1217e-08 -1.3055e-08 2.6332e+25 -0.036759 3.4067 272.09
-3.1217e-08 -1.1919e-08 2.6289e+25 -0.06245 3.4825 272.03
-3.1217e-08 -1.0784e-08 2.6291e+25 -0.059675 3.6606 271.98
-3.1217e-08 -9.649e-09 2.6254e+25 -0.040288 3.7469 272.12
-3.1217e-08 -8.5138e-09 2.625e+25 -0.14888 3.9835 271.85
-3.1217e-08 -7.3787e-09 2.62e+25 -0.028907 4.2202 272
-3.1217e-08 -6.2435e-09 2.6206e+25 -0.10764 4.3921 272
-3.1217e-08 -5.1083e-09 2.6157e+25 -0.2928 4.7072 271.95
-3.1217e-08 -3.9731e-09 2.6115e+25 -0.046932 4.9917 272.27
-3.1217e-08 -2.838e-09 2.6095e+25 0.046978 5.0055 271.98
-3.1217e-08 -1.7028e-09 2.6059e+25 -0.040672 5.096 271.79
-3.1217e-08 -5.6759e-10 2.6043e+25 -0.10275 5.2975 271.89
-3.1217e-08 5.6759e-10 2.6058e+25 -0.11487 5.4284 271.47
-3.1217e-08 1.7028e-09 2.5988e+25 -0.17955 5.7867 271.59
-3.1217e-08 2.838e-09 2.5936e+25 -0.11658 6.1516 271.49
-3.1217e-08 3.9731e-09 2.5908e+25 -0.052343 6.3333 271.54
-3.1217e-08 5.1083e-09 2.5855e+25 -0.25032 6.6837 271.45
-3.1217e-08 6.2435e-09 2.5809e+25 -0.046632 6.8577 271.31
-3.1217e-08 7.3787e-09 2.5723e+25 -0.085449 7.2649 271.49
-3.1217e-08 8.5138e-09 2.5693e+25 -0.01401 7.2624 271.5
-3.1217e-08 9.649e-09 2.5641e+25 -0.17722 7.4453 271.36
-3.1217e-08 1.0784e-08 2.5592e+25 -0.010294 7.7449 271.35
-3.1217e-08 1.1919e-08 2.5481e+25 -0.17656 7.9454 271.17
-3.1217e-08 1.3055e-08 2.5403e+25 -0.16252 8.1946 271.21
-3.1217e-08 1.419e-08 2.5369e+25 0.010583 8.2375 271.38
-3.1217e-08 1.5325e-08 2.5278e+25 -0.1763 8.4669 271.24
-3.1217e-08 1.646e-08 2.522e+25 -0.15664 8.8606 271.04
-3.1217e-08 1.7595e-08 2.5149e+25 -0.0991 9.1739 270.93
-3.1217e-08 1.873e-08 2.5066e+25 -0.034574 9.3321 270.93
-3.1217e-08 1.9866e-08 2.4997e+25 -0.081051 9.6047 270.91
-3.1217e-08 2.1001e-08 2.4903e+25 -0.10803 9.7936 270.96
-3.1217e-08 2.2136e-08 2.4827e+25 -0.20403 10.042 270.94
-3.1217e-08 2.3271e-08 2.4693e+25 -0.036924 10.4 271.2
-3.1217e-08 2.4406e-08 2.4568e+25 -0.14038 10.452 270.82
-3.1217e-08 2.5542e-08 2.4452e+25 -0.095372 10.803 270.93
-3.1217e-08 2.6677e-08 2.4314e+25 -0.044283 10.971 270.84
-3.1217e-08 2.7812e-08 2.4202e+25 -0.17175 11.113 270.81
-3.1217e-08 2.8947e-08 2.4028e+25 0.022451 11.22 270.71
-3.1217e-08 3.0082e-08 2.3907e+25 0.38225 10.545 270.73
-3.1217e-08 3.1217e-08 2.4032e+25 5.2511 6.2159 272.34
-3.0082e-08 -3.1217e-08 2.6166e+25 -0.59353 0.11483 272.52
-3.0082e-08 -3.0082e-08 2.6223e+25 -0.44651 0.32017 272.48
-3.0082e-08 -2.8947e-08 2.6268e+25 -0.28318 0.44671 272.31
-3.0082e-08 -2.7812e-08 2.6296e+25 -0.1807 0.73892 272.41
-3.0082e-08 -2.6677e-08 2.6314e+25 -0.3331 1.0441 272.27
-3.0082e-08 -2.5542e-08 2.6361e+25 -0.23702 1.2075 272.17
-3.0082e-08 -2.4406e-08 2.6347e+25 -0.24377 1.2715 272.24
-3.0082e-08 -2.3271e-08 2.6348e+25 -0.19652 1.5115 272.24
-3.0082e-08 -2.2136e-08 2.6312e+25 -0.24923 1.8004 272.22
-3.0082e-08 -2.1001e-08 2.6342e+25 -0.39141 1.8728 272.23
-3.0082e-08 -1.9866e-08 2.6316e+25 -0.1955 2.1458 272.28
-3.0082e-08 -1.873e-08 2.6331e+25 -0.28789 2.3532 272.32
-3.0082e-08 -1.7595e-08 2.6307e+25 -0.31534 2.6156 272.17
-3.0082e-08 -1.646e-08 2.6272e+25 -0.17872 2.945 272.35
