# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
110000 4
1 0.0077 0 0 0
2 0.0076 0 0 0
3 1728.19 101396 -176.19 1508.67
4 1727.88 101396 176.44 -1790.27
120000 4
1 0.0057 0 0 0
2 0.0057 0 0 0
3 1728.86 101425 -177.374 123.721
4 1728.64 101425 177.265 -200.364
130000 4
1 0.00506667 0 0 0
2 0.005 0 0 0
3 1728.89 101424 -177.964 247.375
4 1728.59 101423 177.943 -296.36
140000 4
1 0.0052 0 0 0
2 0.0052 0 0 0
3 1728.76 101420 -177.173 298.415
4 1728.65 101421 177.217 -355.459
150000 4
1 0.0073 0 0 0
2 0.00726 0 0 0
3 1729 101433 -176.897 235.259
4 1728.89 101433 176.959 -231.577
160000 4
1 0.00851667 0 0 0
2 0.00851667 0 0 0
3 1729.1 101439 -176.949 288.614
4 1728.93 101439 176.979 -338.582
170000 4
1 0.00905714 0 0 0
2 0.00905714 0 0 0
3 1729.19 101446 -176.878 92.0458
4 1729.09 101446 176.886 -85.1312
180000 4
1 0.0085875 0 0 0
2 0.0086 0 0 0
3 1729.14 101443 -177.195 82.6285
4 1729.05 101443 177.179 -100.278
190000 4
1 0.00872222 0 0 0
2 0.00871111 0 0 0
3 1729.21 101445 -177.297 5.53557
4 1729.08 101445 177.29 -2.56663
200000 4
1 0.00823 0 0 0
2 0.00823 0 0 0
3 1729.18 101445 -177.732 81.513
4 1729.1 101446 177.598 -76.1516
