ITEM: TIMESTEP
2000
ITEM: NUMBER OF CELLS
10000
ITEM: BOX BOUNDS oo ro pp
-0.002 0.012857
0 0.002
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-0.00196286 2e-05 0 0 0 0 
-0.00166572 2e-05 0 0 0 0 
-0.00136858 2e-05 0 0 0 0 
-0.00107144 2e-05 0 0 0 0 
-0.000774298 2e-05 0 0 0 0 
-0.000477157 2e-05 0 0 0 0 
-0.000180018 2e-05 0 0 0 0 
0.000117123 2e-05 0 0 0 0 
0.000414263 2e-05 0 0 0 0 
0.000711402 2e-05 0 0 0 0 
0.00100854 2e-05 0 0 0 0 
0.00130568 2e-05 0 0 0 0 
0.00160282 2e-05 0 0 0 0 
-0.00196286 6e-05 0 0 0 0 
-0.00166572 6e-05 0 0 0 0 
-0.00136858 6e-05 0 0 0 0 
-0.00107144 6e-05 0 0 0 0 
-0.000774298 6e-05 0 0 0 0 
-0.000477157 6e-05 0 0 0 0 
-0.000180018 6e-05 0 0 0 0 
0.000117123 6e-05 0 0 0 0 
0.000414263 6e-05 0 0 0 0 
0.000711402 6e-05 0 0 0 0 
0.00100854 6e-05 0 0 0 0 
0.00130568 6e-05 0 0 0 0 
0.00160282 6e-05 0 0 0 0 
-0.00196286 0.0001 0 0 0 0 
-0.00166572 0.0001 0 0 0 0 
-0.00136858 0.0001 0 0 0 0 
-0.00107144 0.0001 0 0 0 0 
-0.000774298 0.0001 0 0 0 0 
-0.000477157 0.0001 0 0 0 0 
-0.000180018 0.0001 0 0 0 0 
0.000117123 0.0001 0 0 0 0 
0.000414263 0.0001 0 0 0 0 
0.000711402 0.0001 0 0 0 0 
0.00100854 0.0001 0 0 0 0 
0.00130568 0.0001 0 0 0 0 
0.00160282 0.0001 0 0 0 0 
-0.00196286 0.00014 0 0 0 0 
-0.00166572 0.00014 0 0 0 0 
-0.00136858 0.00014 0 0 0 0 
-0.00107144 0.00014 0 0 0 0 
-0.000774298 0.00014 0 0 0 0 
-0.000477157 0.00014 0 0 0 0 
-0.000180018 0.00014 0 0 0 0 
0.000117123 0.00014 0 0 0 0 
0.000414263 0.00014 0 0 0 0 
0.000711402 0.00014 0 0 0 0 
0.00100854 0.00014 0 0 0 0 
0.00130568 0.00014 0 0 0 0 
0.00160282 0.00014 0 0 0 0 
-0.00196286 0.00018 0 0 0 0 
-0.00166572 0.00018 0 0 0 0 
-0.00136858 0.00018 0 0 0 0 
-0.00107144 0.00018 0 0 0 0 
-0.000774298 0.00018 0 0 0 0 
-0.000477157 0.00018 0 0 0 0 
-0.000180018 0.00018 0 0 0 0 
0.000117123 0.00018 0 0 0 0 
0.000414263 0.00018 0 0 0 0 
