ITEM: TIMESTEP
300000
ITEM: NUMBER OF CELLS
300
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 8.257e-09 1.78369 19.2782 272.791 101325 
5 7.4313e-08 1.78488 18.4821 272.8 101396 
9 1.40369e-07 1.78296 17.6384 273.101 101399 
13 2.06425e-07 1.78666 17.1735 272.656 101444 
17 2.72481e-07 1.78611 16.6997 272.619 101399 
21 3.38537e-07 1.78654 15.899 272.592 101414 
25 4.04593e-07 1.78425 15.5622 272.71 101327 
29 4.70649e-07 1.78353 15.1263 273.061 101417 
33 5.36705e-07 1.78487 14.6516 272.792 101393 
37 6.02761e-07 1.78356 13.9783 272.769 101310 
41 6.68817e-07 1.78422 13.4651 272.619 101292 
45 7.34873e-07 1.78384 12.9101 272.97 101400 
49 8.00929e-07 1.78396 12.5123 272.945 101398 
53 8.66985e-07 1.78495 11.8526 272.758 101385 
57 9.33041e-07 1.78314 11.5161 272.937 101349 
61 9.99097e-07 1.7828 10.8234 272.91 101319 
65 1.06515e-06 1.78294 10.5258 273.06 101383 
69 1.13121e-06 1.78467 9.9193 273.064 101483 
73 1.19727e-06 1.78292 9.35136 272.886 101317 
2 2.4771e-08 1.78368 19.156 272.667 101279 
6 9.0827e-08 1.78342 18.3821 272.797 101312 
10 1.56883e-07 1.78388 17.5275 272.81 101343 
14 2.22939e-07 1.78555 16.986 272.725 101407 
18 2.88995e-07 1.78544 16.5194 272.794 101426 
22 3.55051e-07 1.78597 15.8429 272.711 101425 
26 4.21107e-07 1.78523 15.5363 272.881 101447 
30 4.87163e-07 1.7842 15.0293 272.988 101428 
34 5.53219e-07 1.78439 14.4128 272.816 101375 
38 6.19275e-07 1.78381 13.7822 272.704 101300 
42 6.85331e-07 1.785 13.3088 272.674 101356 
46 7.51387e-07 1.78505 12.8162 272.959 101465 
50 8.17443e-07 1.78547 12.536 272.886 101462 
54 8.83499e-07 1.78361 11.6907 272.836 101338 
58 9.49555e-07 1.78226 11.3581 272.994 101320 
62 1.01561e-06 1.78315 10.7703 272.921 101343 
66 1.08167e-06 1.78166 10.1475 273.256 101383 
70 1.14772e-06 1.78288 9.71932 273.092 101391 
74 1.21378e-06 1.78388 9.0816 272.972 101404 
3 4.1285e-08 1.78437 18.8198 272.745 101347 
7 1.07341e-07 1.78364 17.9094 272.994 101398 
11 1.73397e-07 1.78464 17.2925 272.808 101386 
15 2.39453e-07 1.78583 16.8528 272.621 101384 
19 3.05509e-07 1.78555 16.1816 272.581 101353 
23 3.71565e-07 1.78491 16.0117 272.713 101366 
27 4.37621e-07 1.78411 15.4179 272.883 101384 
31 5.03677e-07 1.78456 14.9917 272.895 101413 
35 5.69733e-07 1.78526 14.1726 272.858 101440 
39 6.35789e-07 1.78413 13.7648 272.749 101335 
43 7.01845e-07 1.78337 13.0746 272.808 101314 
47 7.67901e-07 1.7839 12.6419 273.02 101423 
51 8.33957e-07 1.7832 12.1978 273.044 101392 
55 9.00013e-07 1.78334 11.3612 273.02 101391 
59 9.66069e-07 1.78387 11.2254 272.918 101383 
63 1.03212e-06 1.78366 10.7874 272.998 101401 
67 1.09818e-06 1.78196 9.95098 273.26 101401 
71 1.16424e-06 1.78159 9.60064 273.132 101333 
75 1.23029e-06 1.78199 9.0361 273.129 101355 
4 5.7799e-08 1.78506 18.7594 272.677 101361 
8 1.23855e-07 1.78396 17.7854 272.933 101393 
12 1.89911e-07 1.78427 17.1301 272.714 101330 
16 2.55967e-07 1.78558 16.5764 272.595 101360 
20 3.22023e-07 1.78554 16.0102 272.648 101378 
24 3.88079e-07 1.78404 15.7645 272.817 101355 
28 4.54135e-07 1.78266 15.2025 273.066 101369 
32 5.20191e-07 1.78457 14.9189 272.894 101414 
36 5.86247e-07 1.78322 14.0962 272.805 101304 
40 6.52303e-07 1.78389 13.6975 272.741 101318 
44 7.18359e-07 1.78395 12.8484 272.876 101372 
48 7.84415e-07 1.78419 12.5191 273.026 101441 
52 8.50471e-07 1.78358 11.8932 272.927 101370 
56 9.16527e-07 1.78363 11.4433 272.943 101378 
60 9.82583e-07 1.78235 10.9037 273.048 101344 
64 1.04864e-06 1.78307 10.709 273.101 101406 
68 1.11469e-06 1.78503 9.91726 273.065 101504 
72 1.18075e-06 1.7827 9.48489 272.884 101304 
78 1.27983e-06 1.7832 8.79485 273.014 101381 
82 1.34589e-06 1.78241 8.25784 272.994 101328 
86 1.41195e-06 1.78248 7.57666 273.139 101386 
90 1.478e-06 1.78325 7.29946 272.985 101372 
94 1.54406e-06 1.781 6.67875 273.099 101287 
98 1.61011e-06 1.78168 6.48802 273.054 101309 
102 1.67617e-06 1.7833 5.99597 272.833 101319 
106 1.74223e-06 1.78451 5.43407 272.904 101415 
110 1.80828e-06 1.78364 4.91017 273.244 101491 
114 1.87434e-06 1.78243 4.48766 273.137 101382 
118 1.94039e-06 1.7832 4.30516 273.01 101379 
122 2.00645e-06 1.78309 3.83527 273.002 101370 
126 2.07251e-06 1.78369 3.31467 272.901 101366 
130 2.13856e-06 1.78459 2.70981 272.834 101393 
134 2.20462e-06 1.783 2.38821 273.096 101400 
138 2.27068e-06 1.78425 1.56958 273.069 101461 
142 2.33673e-06 1.7824 1.67186 273.113 101372 
146 2.40279e-06 1.78305 1.10148 273.17 101430 
150 2.46884e-06 1.78257 0.732606 273.088 101372 
77 1.26332e-06 1.78239 8.89776 273.158 101388 
81 1.32938e-06 1.7824 8.48463 273.011 101334 
85 1.39543e-06 1.78078 7.74445 273.263 101335 
89 1.46149e-06 1.78244 7.25271 272.979 101324 
93 1.52754e-06 1.78064 6.92886 273.044 101246 
97 1.5936e-06 1.78306 6.64011 273.013 101372 
101 1.65966e-06 1.78357 6.02171 272.953 101379 
105 1.72571e-06 1.7828 5.60432 272.946 101333 
109 1.79177e-06 1.78463 5.12772 272.979 101449 
113 1.85782e-06 1.78229 4.63787 273.245 101415 
117 1.92388e-06 1.78266 4.37136 273.071 101371 
121 1.98994e-06 1.78299 3.98646 272.998 101363 
125 2.05599e-06 1.78338 3.31163 272.856 101332 
129 2.12205e-06 1.78391 2.71344 273.042 101432 
133 2.1881e-06 1.78348 2.42557 272.988 101387 
137 2.25416e-06 1.78204 1.78847 273.35 101439 
141 2.32022e-06 1.78363 1.5475 273.115 101442 
145 2.38627e-06 1.78358 1.29476 272.99 101394 
149 2.45233e-06 1.78349 0.867864 273.126 101439 
79 1.29635e-06 1.78185 8.72818 273.103 101337 
83 1.3624e-06 1.78186 7.93627 272.992 101296 
87 1.42846e-06 1.7829 7.4971 273.038 101372 
91 1.49452e-06 1.78337 7.18637 272.972 101374 
95 1.56057e-06 1.78082 6.77445 273.132 101289 
99 1.62663e-06 1.78193 6.38908 272.94 101281 
103 1.69269e-06 1.78301 5.79269 273.018 101371 
107 1.75874e-06 1.78581 5.32649 272.665 101399 
111 1.8248e-06 1.78255 4.66986 273.185 101407 
115 1.89085e-06 1.78408 4.4885 273.043 101441 
119 1.95691e-06 1.7834 4.1032 272.969 101375 
123 2.02297e-06 1.7824 3.72348 273.074 101357 
127 2.08902e-06 1.7827 3.15677 272.949 101328 
131 2.15508e-06 1.78392 2.39256 272.853 101362 
135 2.22113e-06 1.78394 2.15358 273.001 101418 
139 2.28719e-06 1.78274 1.76639 273.045 101366 
143 2.35324e-06 1.78321 1.51619 273.23 101461 
147 2.4193e-06 1.78308 1.11577 273.102 101406 
76 1.24681e-06 1.78219 8.92079 273.044 101335 
80 1.31286e-06 1.78149 8.49489 273.057 101299 
84 1.37892e-06 1.78125 7.92219 273.092 101299 
88 1.44498e-06 1.7831 7.30622 272.991 101366 
92 1.51103e-06 1.78255 6.98315 273.023 101347 
96 1.57709e-06 1.78217 6.58695 273.112 101359 
100 1.64314e-06 1.78233 6.25297 273.08 101356 
104 1.7092e-06 1.78182 5.64821 273.079 101326 
108 1.77525e-06 1.7849 5.23872 272.962 101458 
112 1.84131e-06 1.78149 4.6907 273.401 101427 
116 1.90737e-06 1.78379 4.66366 273.121 101454 
120 1.97342e-06 1.78394 3.96782 272.885 101375 
124 2.03948e-06 1.78296 3.55911 272.886 101319 
128 2.10553e-06 1.784 2.91983 272.93 101395 
132 2.17159e-06 1.7846 2.39501 272.882 101411 
136 2.23765e-06 1.78301 1.97744 273.183 101432 
140 2.3037e-06 1.78315 1.39073 273.126 101419 
144 2.36976e-06 1.78279 1.39946 273.143 101405 
148 2.43581e-06 1.78395 0.971972 273.016 101424 
151 2.48536e-06 1.78349 0.696529 273.17 101455 
155 2.55141e-06 1.78296 0.351235 273.238 101450 
159 2.61747e-06 1.78314 -0.624996 272.865 101322 
163 2.68352e-06 1.7834 -1.29303 273.299 101498 
167 2.74958e-06 1.78184 -1.58434 273.129 101346 
171 2.81564e-06 1.78224 -2.02091 272.956 101304 
175 2.88169e-06 1.78348 -2.35243 272.826 101326 
179 2.94775e-06 1.78318 -3.2338 272.993 101372 
183 3.01381e-06 1.78312 -3.68808 272.879 101326 
187 3.07986e-06 1.7824 -4.35732 273.022 101338 
191 3.14592e-06 1.78301 -4.64568 273.133 101414 
195 3.21197e-06 1.78306 -5.29634 273.288 101474 
199 3.27803e-06 1.78185 -5.90795 273.112 101340 
203 3.34408e-06 1.78175 -6.43146 273.147 101347 
207 3.41014e-06 1.78242 -6.67136 273.157 101389 
211 3.4762e-06 1.77924 -7.48682 273.58 101365 
215 3.54225e-06 1.78115 -8.18877 273.215 101339 
219 3.60831e-06 1.78089 -8.51754 273.572 101456 
223 3.67437e-06 1.78183 -9.07074 273.113 101339 
153 2.51839e-06 1.78286 0.564582 272.96 101341 
157 2.58444e-06 1.78347 -0.334498 272.923 101362 
161 2.6505e-06 1.78577 -0.706157 272.791 101444 
165 2.71655e-06 1.78082 -1.39512 273.189 101310 
169 2.78261e-06 1.78235 -1.72559 272.885 101284 
173 2.84867e-06 1.7811 -1.8979 273.041 101271 
177 2.91472e-06 1.78379 -2.86559 272.843 101350 
181 2.98078e-06 1.7848 -3.49241 272.903 101431 
185 3.04683e-06 1.78238 -4.08701 273.068 101354 
189 3.11289e-06 1.78377 -4.31798 272.981 101401 
193 3.17894e-06 1.78396 -4.99922 273.106 101458 
197 3.245e-06 1.78311 -5.58404 273.131 101419 
201 3.31106e-06 1.78219 -6.17657 273.079 101347 
205 3.37711e-06 1.78154 -6.35783 273.098 101318 
209 3.44317e-06 1.78114 -7.1977 273.169 101321 
213 3.50923e-06 1.78003 -7.86137 273.271 101296 
217 3.57528e-06 1.77931 -8.36267 273.571 101366 
221 3.64134e-06 1.7805 -8.75232 273.335 101346 
225 3.70739e-06 1.78049 -9.45052 273.386 101364 
154 2.5349e-06 1.78178 0.516662 273.042 101310 
158 2.60095e-06 1.78392 -0.549033 272.908 101382 
162 2.66701e-06 1.78431 -1.05812 273.067 101464 
166 2.73307e-06 1.78161 -1.52536 273.213 101364 
170 2.79912e-06 1.78232 -1.92499 272.87 101277 
174 2.86518e-06 1.78302 -2.17824 272.933 101340 
178 2.93123e-06 1.78314 -3.22588 272.884 101329 
182 2.99729e-06 1.7839 -3.52546 272.884 101372 
186 3.06335e-06 1.78256 -4.0841 272.995 101337 
190 3.1294e-06 1.78326 -4.51959 273.094 101414 
194 3.19546e-06 1.78302 -5.14298 273.199 101439 
198 3.26152e-06 1.78329 -5.67562 272.969 101369 
202 3.32757e-06 1.78197 -6.32117 273.19 101376 
206 3.39363e-06 1.7812 -6.6497 273.238 101350 
210 3.45968e-06 1.77952 -7.48408 273.325 101286 
214 3.52574e-06 1.78065 -7.80235 273.249 101323 
218 3.59179e-06 1.77954 -8.44816 273.64 101405 
222 3.65785e-06 1.78073 -9.02007 273.273 101336 
152 2.50187e-06 1.78185 0.602793 273.171 101362 
156 2.56793e-06 1.78353 0.0333277 273.046 101411 
160 2.63398e-06 1.78462 -0.809456 272.751 101363 
164 2.70004e-06 1.78235 -1.26831 273.091 101361 
168 2.7661e-06 1.78302 -1.6296 273 101365 
172 2.83215e-06 1.78307 -1.88707 272.86 101316 
176 2.89821e-06 1.78379 -2.62244 272.823 101343 
180 2.96426e-06 1.78453 -3.39417 272.798 101376 
184 3.03032e-06 1.78285 -3.94535 272.826 101291 
188 3.09638e-06 1.78311 -4.49344 272.958 101355 
192 3.16243e-06 1.78218 -4.91161 273.192 101389 
196 3.22849e-06 1.7833 -5.34216 273.137 101432 
200 3.29454e-06 1.78268 -6.02091 273.118 101390 
204 3.3606e-06 1.7825 -6.34056 273.21 101414 
208 3.42665e-06 1.78188 -6.87145 273.101 101338 
212 3.49271e-06 1.78043 -7.63023 273.394 101364 
216 3.55877e-06 1.78088 -8.39018 273.417 101398 
220 3.62482e-06 1.78051 -8.49797 273.38 101363 
224 3.69088e-06 1.78164 -9.34979 273.181 101354 
228 3.75694e-06 1.78366 -9.71899 273.022 101410 
232 3.82299e-06 1.78282 -10.2651 273.066 101378 
236 3.88905e-06 1.78276 -11.1489 273.173 101415 
240 3.9551e-06 1.78312 -11.5821 272.995 101369 
244 4.02116e-06 1.78299 -12.198 272.899 101326 
248 4.08721e-06 1.78428 -12.5687 272.898 101399 
252 4.15327e-06 1.7829 -12.9899 273.151 101414 
256 4.21933e-06 1.78318 -13.4538 273.145 101428 
260 4.28538e-06 1.78245 -14.1099 273.207 101410 
264 4.35144e-06 1.78207 -14.7267 273.128 101359 
268 4.4175e-06 1.78239 -15.104 273.07 101355 
272 4.48355e-06 1.78185 -15.4931 273.103 101337 
276 4.54961e-06 1.78225 -16.0104 273.195 101394 
280 4.61566e-06 1.78346 -16.6937 273.11 101431 
284 4.68172e-06 1.78262 -17.0319 273.131 101391 
288 4.74778e-06 1.7852 -17.4683 273.087 101521 
292 4.81383e-06 1.78442 -17.9862 273.121 101489 
296 4.87989e-06 1.78292 -18.7101 272.996 101358 
300 4.94594e-06 1.78523 -19.4214 272.796 101415 
229 3.77345e-06 1.78289 -10.0344 273.126 101404 
233 3.8395e-06 1.78473 -10.3748 273.012 101467 
237 3.90556e-06 1.78284 -11.1345 272.975 101346 
241 3.97162e-06 1.78383 -11.9395 272.912 101379 
245 4.03767e-06 1.78172 -12.3158 272.914 101259 
249 4.10373e-06 1.78285 -12.9756 273.121 101400 
253 4.16978e-06 1.78193 -13.0034 273.105 101342 
257 4.23584e-06 1.7829 -13.5626 273.031 101370 
261 4.3019e-06 1.78278 -14.1911 273.279 101455 
265 4.36795e-06 1.78189 -14.8904 273.089 101334 
269 4.43401e-06 1.78319 -15.2431 273.093 101410 
273 4.50006e-06 1.78106 -15.5692 273.255 101348 
277 4.56612e-06 1.78303 -16.1711 273.118 101410 
281 4.63218e-06 1.78413 -16.7157 273.172 101492 
285 4.69823e-06 1.78292 -17.3487 273.123 101405 
289 4.76429e-06 1.78361 -17.6775 273.015 101404 
293 4.83034e-06 1.7827 -18.1061 273.135 101397 
297 4.8964e-06 1.78467 -18.9534 272.919 101429 
226 3.72391e-06 1.78177 -9.63796 273.28 101398 
230 3.78996e-06 1.78213 -10.0166 273.22 101396 
234 3.85602e-06 1.78384 -10.4225 272.924 101383 
238 3.92208e-06 1.78202 -11.2376 273.146 101363 
242 3.98813e-06 1.78257 -12.2559 273.019 101347 
246 4.05419e-06 1.78295 -12.4122 272.795 101285 
250 4.12024e-06 1.78381 -12.9406 272.983 101404 
254 4.1863e-06 1.78159 -13.1991 273.229 101369 
258 4.25236e-06 1.78218 -13.6413 273.296 101427 
262 4.31841e-06 1.7831 -14.4314 273.096 101405 
266 4.38447e-06 1.7824 -14.7399 273.167 101392 
270 4.45052e-06 1.78312 -14.9652 273.101 101409 
274 4.51658e-06 1.78225 -15.921 273.127 101368 
278 4.58263e-06 1.78374 -16.3072 273.086 101438 
282 4.64869e-06 1.78356 -16.8441 273.099 101433 
286 4.71475e-06 1.78334 -17.2686 273.167 101445 
290 4.7808e-06 1.7844 -17.9089 273.082 101474 
294 4.84686e-06 1.78235 -18.4111 273.122 101372 
298 4.91292e-06 1.78495 -18.8508 272.997 101474 
227 3.74042e-06 1.78156 -9.69526 273.272 101383 
231 3.80648e-06 1.78269 -10.2045 273.197 101420 
235 3.87253e-06 1.78353 -10.7018 273.12 101439 
239 3.93859e-06 1.78387 -11.4795 273.089 101447 
243 4.00464e-06 1.78418 -12.2858 272.935 101407 
247 4.0707e-06 1.78425 -12.38 272.785 101356 
251 4.13676e-06 1.78445 -13.0911 273.043 101462 
255 4.20281e-06 1.78137 -13.4703 273.245 101362 
259 4.26887e-06 1.78283 -13.9742 273.28 101458 
263 4.33492e-06 1.78245 -14.636 273.089 101366 
267 4.40098e-06 1.78228 -14.9437 273.132 101372 
271 4.46704e-06 1.7829 -15.0906 273.085 101390 
275 4.53309e-06 1.78298 -16.0737 273.219 101444 
279 4.59915e-06 1.78306 -16.5184 273.259 101464 
283 4.6652e-06 1.78247 -16.7699 273.206 101410 
287 4.73126e-06 1.7845 -17.4172 273.049 101467 
291 4.79732e-06 1.78528 -17.9159 273.034 101506 
295 4.86337e-06 1.78217 -18.3861 273.012 101321 
299 4.92943e-06 1.78542 -19.1583 272.891 101461 
