ITEM: TIMESTEP
100000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78334 18.0146 273.099 101420 
5 2.22939e-07 1.78389 16.8865 272.99 101411 
9 4.21107e-07 1.78333 15.4577 273.05 101401 
13 6.19275e-07 1.7824 14.007 273.064 101354 
17 8.17443e-07 1.78279 12.5072 273.13 101400 
21 1.01561e-06 1.78275 10.8504 273.124 101396 
25 1.21378e-06 1.78457 9.44703 273.183 101521 
2 7.4313e-08 1.78367 17.7513 273.063 101425 
6 2.72481e-07 1.78331 16.6254 273.027 101392 
10 4.70649e-07 1.78313 15.1908 273.057 101393 
14 6.68817e-07 1.78269 13.6816 273.08 101376 
18 8.66985e-07 1.78265 12.154 273.172 101408 
22 1.06515e-06 1.78359 10.5401 273.126 101444 
3 1.23855e-07 1.7832 17.5731 272.88 101330 
7 3.22023e-07 1.78387 16.1357 273.035 101426 
11 5.20191e-07 1.78385 14.7118 273.046 101430 
15 7.18359e-07 1.78374 13.2453 273.167 101468 
19 9.16527e-07 1.78343 11.7329 273.221 101470 
23 1.11469e-06 1.78298 10.1611 273.18 101430 
4 1.73397e-07 1.78342 17.1784 273.117 101431 
8 3.71565e-07 1.78428 15.754 273.112 101478 
12 5.69733e-07 1.7829 14.288 273.089 101391 
16 7.67901e-07 1.78239 12.8246 273.051 101349 
20 9.66069e-07 1.78324 11.3397 273.101 101415 
24 1.16424e-06 1.78306 9.76356 273.091 101401 
26 1.26332e-06 1.78241 9.12833 273.071 101357 
30 1.46149e-06 1.78379 7.60826 273.174 101473 
34 1.65966e-06 1.78316 6.17667 273.148 101428 
38 1.85782e-06 1.78254 4.75163 273.16 101397 
42 2.05599e-06 1.78222 3.10127 273.208 101397 
46 2.25416e-06 1.78225 1.73819 273.154 101378 
50 2.45233e-06 1.78374 0.256713 273.154 101463 
29 1.41195e-06 1.78347 8.01172 273.169 101453 
33 1.61012e-06 1.78374 6.47904 273.175 101471 
37 1.80828e-06 1.7829 5.11298 273.217 101439 
41 2.00645e-06 1.78288 3.57559 273.129 101405 
45 2.20462e-06 1.78319 2.03106 273.3 101486 
49 2.40279e-06 1.7833 0.645501 273.114 101423 
27 1.31286e-06 1.78355 8.64418 273.11 101436 
31 1.51103e-06 1.78277 7.25886 273.116 101394 
35 1.7092e-06 1.78321 5.85725 273.235 101463 
39 1.90737e-06 1.7833 4.31332 273.249 101473 
43 2.10553e-06 1.7825 2.67842 273.175 101400 
47 2.3037e-06 1.7835 1.29525 273.015 101398 
28 1.3624e-06 1.78337 8.35132 272.998 101384 
32 1.56057e-06 1.78277 6.80467 273.144 101404 
36 1.75874e-06 1.783 5.39584 273.182 101431 
40 1.95691e-06 1.78208 3.96668 273.197 101385 
44 2.15508e-06 1.78279 2.44357 273.225 101435 
48 2.35324e-06 1.78346 1.01331 273.146 101445 
51 2.50187e-06 1.78281 -0.032588 273.16 101413 
55 2.70004e-06 1.78251 -1.62032 273.138 101387 
59 2.89821e-06 1.78294 -3.0771 273.175 101425 
63 3.09637e-06 1.78327 -4.57991 273.148 101435 
67 3.29454e-06 1.78248 -6.16533 273.11 101375 
71 3.49271e-06 1.78347 -7.64512 273.179 101457 
75 3.69088e-06 1.78366 -8.91369 273.112 101443 
53 2.60096e-06 1.78293 -0.854829 273.045 101377 
57 2.79912e-06 1.78364 -2.29608 273.143 101454 
61 2.99729e-06 1.78295 -3.79977 273.007 101364 
65 3.19546e-06 1.78281 -5.39146 273.187 101423 
69 3.39363e-06 1.78208 -6.87711 273.083 101342 
73 3.5918e-06 1.78337 -8.31014 273.2 101459 
54 2.6505e-06 1.78388 -1.30684 273.149 101469 
58 2.84867e-06 1.78231 -2.71848 273.143 101377 
62 3.04683e-06 1.78322 -4.27357 273.234 101464 
66 3.245e-06 1.78277 -5.65989 273.079 101381 
70 3.44317e-06 1.78331 -7.12905 273.338 101507 
74 3.64134e-06 1.78338 -8.53003 273.174 101450 
52 2.55141e-06 1.78391 -0.599521 273.155 101473 
56 2.74958e-06 1.78258 -1.94313 273.254 101434 
60 2.94775e-06 1.78255 -3.44818 273.135 101388 
64 3.14592e-06 1.78267 -5.08174 273.139 101397 
68 3.34408e-06 1.78271 -6.36622 273.083 101378 
72 3.54225e-06 1.78342 -7.93251 273.125 101434 
76 3.74042e-06 1.78268 -9.30947 273.043 101361 
80 3.93859e-06 1.78355 -10.7841 273.166 101457 
84 4.13676e-06 1.78277 -12.1818 273.098 101387 
88 4.33492e-06 1.7834 -13.7546 273.115 101430 
92 4.53309e-06 1.78276 -15.3772 273.14 101402 
96 4.73126e-06 1.78325 -16.8755 272.908 101344 
100 4.92943e-06 1.78376 -18.0294 273.104 101446 
77 3.78996e-06 1.78244 -9.67023 273.018 101339 
81 3.98813e-06 1.78342 -11.2312 273.118 101432 
85 4.1863e-06 1.78248 -12.6532 273.175 101399 
89 4.38447e-06 1.78287 -14.1808 273.174 101421 
93 4.58263e-06 1.78376 -15.6104 273.04 101422 
97 4.7808e-06 1.78318 -17.1302 272.976 101365 
78 3.8395e-06 1.78348 -10.0788 273.087 101424 
82 4.03767e-06 1.78324 -11.6205 273.092 101412 
86 4.23584e-06 1.78272 -12.9814 273.169 101411 
90 4.43401e-06 1.78332 -14.4902 273.117 101426 
94 4.63218e-06 1.78286 -16.1189 272.993 101353 
98 4.83034e-06 1.78308 -17.4802 273.013 101373 
79 3.88905e-06 1.7832 -10.384 273.1 101413 
83 4.08721e-06 1.78285 -11.9595 273.063 101379 
87 4.28538e-06 1.78291 -13.4728 273.117 101402 
91 4.48355e-06 1.78368 -14.8429 273.082 101433 
95 4.68172e-06 1.78242 -16.3747 273.019 101338 
99 4.87989e-06 1.78333 -17.5435 273.101 101420 
