# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
75000 4
1 0 0 0 0
2 0 0 0 0
3 33.8801 101392 -190.134 -2058.42
4 33.8832 101384 186.209 -1919.58
100000 4
1 0.00012 0 0 0
2 0.00014 0 0 0
3 33.9051 101458 -175.632 963.884
4 33.9057 101457 173.327 -4204.64
125000 4
1 0.000293333 0 0 0
2 0.000306667 0 0 0
3 33.8921 101470 -175.431 303.041
4 33.9006 101466 177.271 -1790.8
150000 4
1 0.00044 0 0 0
2 0.00044 0 0 0
3 33.8836 101442 -177.163 -1005.77
4 33.8909 101444 173.293 262.025
175000 4
1 0.00048 0 0 0
2 0.00048 0 0 0
3 33.8967 101485 -174.697 -906.038
4 33.906 101487 174.242 -1581.04
200000 4
1 0.000413333 0 0 0
2 0.000413333 0 0 0
3 33.8981 101500 -172.024 615.284
4 33.9091 101500 171.007 -727.5
225000 4
1 0.000382857 0 0 0
2 0.000377143 0 0 0
3 33.8912 101474 -170.245 1348.94
4 33.8966 101475 171.351 -1963.26
250000 4
1 0.00039 0 0 0
2 0.00039 0 0 0
3 33.8871 101469 -168.968 1653.72
4 33.8972 101471 168.327 -2370.03
275000 4
1 0.000368889 0 0 0
2 0.000368889 0 0 0
3 33.8739 101425 -167.836 2584.52
4 33.8849 101427 167.173 -2692.15
300000 4
1 0.000332 0 0 0
2 0.000332 0 0 0
3 33.8753 101424 -168.188 2021.99
4 33.8858 101423 167.701 -2444.15
325000 4
1 0.000316364 0 0 0
2 0.00032 0 0 0
3 33.8778 101429 -166.825 1803.37
4 33.8871 101429 168.082 -2192.72
350000 4
1 0.000326667 0 0 0
2 0.000326667 0 0 0
3 33.8786 101434 -167.755 970.443
4 33.8877 101434 168.126 -1526.29
375000 4
1 0.00032 0 0 0
2 0.000323077 0 0 0
3 33.8834 101454 -166.667 713.396
4 33.8936 101454 166.621 -1533.1
400000 4
1 0.000297143 0 0 0
2 0.0003 0 0 0
3 33.887 101467 -167.882 86.1686
4 33.8967 101468 167.033 -848.603
425000 4
1 0.000285333 0 0 0
2 0.000290667 0 0 0
3 33.8891 101473 -168.461 87.0796
4 33.8983 101473 167.54 -431.093
450000 4
1 0.0003 0 0 0
2 0.000305 0 0 0
3 33.8917 101473 -168.033 823.961
4 33.8981 101473 167.605 -1205.41
475000 4
1 0.000287059 0 0 0
2 0.000291765 0 0 0
3 33.8908 101470 -167.847 893.071
4 33.896 101470 167.606 -1091.01
500000 4
1 0.000275556 0 0 0
2 0.00028 0 0 0
3 33.8912 101470 -166.872 636.016
4 33.8973 101469 168.068 -1009.49
525000 4
1 0.000263158 0 0 0
2 0.000267368 0 0 0
3 33.8923 101473 -167.33 848.34
4 33.8993 101474 167.688 -1152.06
550000 4
1 0.000256 0 0 0
2 0.000258 0 0 0
3 33.8908 101468 -167.557 625.146
4 33.8965 101467 167.065 -1286.62
