ITEM: TIMESTEP
400000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78534 19.2176 273.214 101576 
5 2.22939e-07 1.78904 16.5751 272.941 101685 
9 4.21107e-07 1.78638 14.5292 273.428 101716 
13 6.19275e-07 1.78916 13.5399 272.932 101689 
17 8.17443e-07 1.78645 11.537 273.543 101762 
21 1.01561e-06 1.78319 10.8228 273.63 101609 
25 1.21378e-06 1.78326 8.57579 273.535 101578 
2 7.4313e-08 1.78768 18.7908 273.279 101734 
6 2.72481e-07 1.78662 16.4012 273.259 101666 
10 4.70649e-07 1.78614 14.0808 273.326 101663 
14 6.68817e-07 1.78721 13.2741 273.192 101675 
18 8.66985e-07 1.78432 11.1147 273.572 101652 
22 1.06515e-06 1.7842 9.7629 273.594 101653 
3 1.23855e-07 1.78735 18.3669 272.974 101601 
7 3.22023e-07 1.7861 15.3626 273.239 101629 
11 5.20191e-07 1.78841 13.971 273.117 101715 
15 7.18359e-07 1.78627 12.7912 273.039 101564 
19 9.16527e-07 1.78544 10.8201 273.494 101687 
23 1.11469e-06 1.78167 9.43697 273.609 101515 
4 1.73397e-07 1.78686 17.6724 273.211 101662 
8 3.71565e-07 1.78619 14.9129 273.387 101689 
12 5.69733e-07 1.79021 13.9989 272.857 101720 
16 7.67901e-07 1.7854 11.8106 273.45 101668 
20 9.66069e-07 1.78369 10.8692 273.71 101667 
24 1.16424e-06 1.78058 8.89086 273.807 101526 
26 1.26332e-06 1.78097 8.34476 273.998 101619 
30 1.46149e-06 1.78072 7.56465 273.936 101582 
34 1.65966e-06 1.78369 5.68293 273.794 101698 
38 1.85782e-06 1.78086 3.95753 274.194 101685 
42 2.05599e-06 1.78696 2.53984 273.593 101810 
46 2.25416e-06 1.7787 0.977012 274.481 101668 
50 2.45233e-06 1.77916 -0.472682 274.344 101644 
29 1.41195e-06 1.78135 8.0416 273.987 101636 
33 1.61012e-06 1.78349 5.85634 273.91 101730 
37 1.80828e-06 1.77903 4.69386 274.175 101574 
41 2.00645e-06 1.78282 2.77285 273.604 101578 
45 2.20462e-06 1.77847 1.5715 274.03 101488 
49 2.40279e-06 1.78016 -0.17117 274.107 101613 
27 1.31286e-06 1.78125 8.01758 274.054 101656 
31 1.51103e-06 1.77808 7.33245 273.951 101436 
35 1.7092e-06 1.78479 5.12975 273.879 101792 
39 1.90737e-06 1.78193 3.56401 273.859 101622 
43 2.10553e-06 1.78329 2.46815 273.613 101608 
47 2.3037e-06 1.77846 0.82007 274.077 101505 
28 1.3624e-06 1.7823 8.1611 273.897 101657 
32 1.56057e-06 1.78075 6.78233 273.993 101604 
36 1.75874e-06 1.78287 4.75675 273.799 101653 
40 1.95691e-06 1.78075 3.35836 273.787 101528 
44 2.15508e-06 1.78007 1.91435 274.016 101574 
48 2.35324e-06 1.78024 0.376527 274.125 101624 
51 2.50187e-06 1.77703 -1.33044 274.459 101565 
55 2.70004e-06 1.78143 -2.53006 273.953 101628 
59 2.89821e-06 1.77797 -4.1679 274.3 101560 
63 3.09637e-06 1.7811 -5.75888 273.635 101491 
67 3.29454e-06 1.78114 -7.29571 274.147 101683 
71 3.49271e-06 1.78321 -8.45889 273.679 101628 
75 3.69088e-06 1.78238 -9.39871 273.691 101585 
53 2.60096e-06 1.7793 -2.17711 274.213 101603 
57 2.79912e-06 1.77848 -3.3103 274.351 101607 
61 2.99729e-06 1.7841 -5.2446 273.678 101678 
65 3.19546e-06 1.78072 -6.43183 273.749 101512 
69 3.39363e-06 1.7838 -7.48563 273.724 101678 
73 3.5918e-06 1.78465 -8.98713 273.445 101623 
54 2.6505e-06 1.77945 -2.20383 274.159 101592 
58 2.84867e-06 1.78167 -3.93742 274.168 101722 
62 3.04683e-06 1.78166 -5.85319 273.902 101622 
66 3.245e-06 1.78254 -6.88035 273.845 101651 
70 3.44317e-06 1.78487 -8.14095 273.708 101733 
74 3.64134e-06 1.78021 -9.18282 273.744 101481 
52 2.55141e-06 1.78033 -1.7671 274.344 101710 
56 2.74958e-06 1.77897 -2.57109 274.261 101602 
60 2.94775e-06 1.7819 -4.4354 274.05 101691 
64 3.14592e-06 1.78215 -5.74758 273.536 101515 
68 3.34408e-06 1.78199 -7.64722 273.999 101677 
72 3.54225e-06 1.78485 -8.76727 273.464 101642 
76 3.74042e-06 1.78 -9.88909 273.927 101537 
80 3.93859e-06 1.78591 -11.0042 273.323 101650 
84 4.13676e-06 1.7844 -12.2355 273.9 101778 
88 4.33492e-06 1.78554 -14.5531 273.576 101723 
92 4.53309e-06 1.78107 -16.1628 274.095 101660 
96 4.73126e-06 1.78433 -17.4593 273.638 101677 
100 4.92943e-06 1.78823 -19.4741 273.209 101739 
77 3.78996e-06 1.78393 -10.3686 273.703 101678 
81 3.98813e-06 1.78188 -11.1383 273.549 101504 
85 4.1863e-06 1.78265 -12.9848 273.652 101586 
89 4.38447e-06 1.78439 -14.8238 273.387 101587 
93 4.58263e-06 1.78445 -16.5182 273.661 101692 
97 4.7808e-06 1.78424 -18.1472 273.396 101582 
78 3.8395e-06 1.78234 -10.6003 273.779 101615 
82 4.03767e-06 1.78493 -11.6577 273.488 101655 
86 4.23584e-06 1.78442 -13.6361 273.494 101628 
90 4.43401e-06 1.7847 -15.3381 273.434 101622 
94 4.63218e-06 1.78414 -17.2459 273.643 101668 
98 4.83034e-06 1.78506 -18.7236 273.238 101570 
79 3.88905e-06 1.78293 -11.1332 273.598 101582 
83 4.08721e-06 1.78231 -12.2602 274.087 101728 
87 4.28538e-06 1.7837 -14.1703 273.417 101559 
91 4.48355e-06 1.78356 -15.8681 273.773 101683 
95 4.68172e-06 1.78274 -17.2346 273.573 101562 
99 4.87989e-06 1.78529 -18.8354 273.186 101563 
