ITEM: TIMESTEP
100000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78406 17.8977 273.093 101459 
5 2.22939e-07 1.78513 16.8047 273.128 101533 
9 4.21107e-07 1.78408 15.4261 273.235 101512 
13 6.19275e-07 1.7835 13.8562 273.215 101472 
17 8.17443e-07 1.78371 12.3342 273.283 101509 
21 1.01561e-06 1.78248 10.9764 273.242 101424 
25 1.21378e-06 1.78252 9.37935 273.259 101433 
2 7.4313e-08 1.78387 17.8131 273.03 101425 
6 2.72481e-07 1.78372 16.4501 273.211 101484 
10 4.70649e-07 1.78403 14.9768 273.122 101468 
14 6.68817e-07 1.78328 13.5006 273.129 101428 
18 8.66985e-07 1.7835 11.958 273.19 101463 
22 1.06515e-06 1.78248 10.4584 273.225 101418 
3 1.23855e-07 1.78396 17.429 273.072 101446 
7 3.22023e-07 1.78443 15.9395 273.127 101492 
11 5.20191e-07 1.78334 14.5896 273.211 101462 
15 7.18359e-07 1.78378 13.0883 273.142 101461 
19 9.16527e-07 1.78399 11.6479 273.213 101499 
23 1.11469e-06 1.78305 10.1735 273.268 101466 
4 1.73397e-07 1.78422 17.125 273.024 101442 
8 3.71565e-07 1.78426 15.7018 273.136 101486 
12 5.69733e-07 1.7836 14.1564 273.152 101455 
16 7.67901e-07 1.78411 12.7698 273.319 101545 
20 9.66069e-07 1.78372 11.2842 273.154 101462 
24 1.16424e-06 1.783 9.70313 273.361 101498 
26 1.26332e-06 1.78286 9.00514 273.285 101462 
30 1.46149e-06 1.78212 7.57759 273.386 101457 
34 1.65966e-06 1.78119 6.19648 273.38 101402 
38 1.85782e-06 1.78337 4.72935 273.445 101550 
42 2.05599e-06 1.78328 3.32733 273.375 101519 
46 2.25416e-06 1.78257 1.88104 273.386 101483 
50 2.45233e-06 1.78218 0.467116 273.351 101448 
29 1.41195e-06 1.78296 8.04525 273.287 101468 
33 1.61012e-06 1.78272 6.53838 273.3 101459 
37 1.80828e-06 1.78223 5.15769 273.361 101454 
41 2.00645e-06 1.78232 3.54785 273.362 101459 
45 2.20462e-06 1.78332 2.15295 273.259 101478 
49 2.40279e-06 1.7829 0.712569 273.314 101475 
27 1.31286e-06 1.7827 8.70448 273.308 101461 
31 1.51103e-06 1.78236 7.26304 273.267 101426 
35 1.7092e-06 1.78207 5.549 273.35 101441 
39 1.90737e-06 1.78316 4.40119 273.468 101547 
43 2.10553e-06 1.78235 2.89084 273.362 101462 
47 2.3037e-06 1.78278 1.38982 273.362 101486 
28 1.3624e-06 1.78277 8.312 273.295 101460 
32 1.56057e-06 1.78265 6.71809 273.468 101518 
36 1.75874e-06 1.78347 5.53518 273.249 101483 
40 1.95691e-06 1.7824 3.91228 273.398 101477 
44 2.15508e-06 1.7833 2.49572 273.279 101484 
48 2.35324e-06 1.78301 1.03612 273.449 101531 
51 2.50187e-06 1.78254 -0.0200356 273.362 101472 
55 2.70004e-06 1.78167 -1.52117 273.468 101462 
59 2.89821e-06 1.78298 -2.99848 273.367 101499 
63 3.09637e-06 1.78214 -4.37 273.475 101491 
67 3.29454e-06 1.78201 -6.04599 273.396 101455 
71 3.49271e-06 1.7824 -7.44279 273.42 101486 
75 3.69088e-06 1.78285 -9.01252 273.284 101461 
53 2.60096e-06 1.78183 -0.716783 273.328 101419 
57 2.79912e-06 1.78203 -2.1061 273.377 101449 
61 2.99729e-06 1.78304 -3.68801 273.337 101491 
65 3.19546e-06 1.78315 -5.31272 273.353 101504 
69 3.39363e-06 1.78211 -6.71126 273.352 101444 
73 3.5918e-06 1.78278 -8.28939 273.32 101470 
54 2.6505e-06 1.78213 -1.0892 273.376 101454 
58 2.84867e-06 1.78222 -2.65891 273.359 101453 
62 3.04683e-06 1.78224 -4.16622 273.314 101437 
66 3.245e-06 1.78223 -5.62558 273.401 101469 
70 3.44317e-06 1.78273 -7.09148 273.321 101468 
74 3.64134e-06 1.78306 -8.5908 273.296 101477 
52 2.55141e-06 1.7825 -0.438993 273.381 101477 
56 2.74958e-06 1.78195 -1.86405 273.285 101410 
60 2.94775e-06 1.782 -3.30276 273.435 101468 
64 3.14592e-06 1.78275 -4.88637 273.299 101461 
68 3.34408e-06 1.78366 -6.42605 273.333 101526 
72 3.54225e-06 1.7824 -7.95555 273.211 101408 
76 3.74042e-06 1.78377 -9.2257 273.377 101548 
80 3.93859e-06 1.78256 -10.8932 273.2 101413 
84 4.13676e-06 1.78332 -12.4272 273.182 101450 
88 4.33492e-06 1.78255 -13.8571 273.082 101369 
92 4.53309e-06 1.78368 -15.2357 273.114 101445 
96 4.73126e-06 1.78446 -16.5882 273.095 101482 
100 4.92943e-06 1.78383 -17.9936 273.021 101419 
77 3.78996e-06 1.78318 -9.82483 273.258 101470 
81 3.98813e-06 1.78309 -11.2368 273.222 101452 
85 4.1863e-06 1.78411 -12.6905 273.213 101506 
89 4.38447e-06 1.78397 -14.3039 273.222 101502 
93 4.58263e-06 1.78413 -15.5882 273.078 101457 
97 4.7808e-06 1.78405 -17.0674 273.084 101455 
78 3.8395e-06 1.78312 -10.0817 273.345 101499 
82 4.03767e-06 1.78336 -11.7204 273.282 101489 
86 4.23584e-06 1.78339 -13.1651 273.306 101500 
90 4.43401e-06 1.78436 -14.543 273.194 101513 
94 4.63218e-06 1.78397 -16.0433 273.167 101481 
98 4.83034e-06 1.78448 -17.4075 273.058 101470 
79 3.88905e-06 1.78298 -10.53 273.301 101475 
83 4.08721e-06 1.78296 -11.8675 273.162 101422 
87 4.28538e-06 1.78396 -13.4477 273.187 101488 
91 4.48355e-06 1.78315 -14.958 273.181 101440 
95 4.68172e-06 1.78394 -16.3825 273.04 101432 
99 4.87989e-06 1.78476 -17.5972 273.157 101522 
