ITEM: TIMESTEP
75000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78369 19.2184 273.001 101403 
5 2.22939e-07 1.78263 17.7561 273.34 101469 
9 4.21107e-07 1.78225 15.9604 273.606 101546 
13 6.19275e-07 1.78353 13.8586 273.475 101571 
17 8.17443e-07 1.78051 12.0847 273.601 101445 
21 1.01561e-06 1.78114 11.1901 273.401 101407 
25 1.21378e-06 1.7783 9.59912 274.096 101502 
2 7.4313e-08 1.78488 18.9151 272.953 101453 
6 2.72481e-07 1.78283 17.5152 273.508 101543 
10 4.70649e-07 1.78232 15.6153 273.619 101555 
14 6.68817e-07 1.78404 13.4803 273.783 101714 
18 8.66985e-07 1.78289 11.8405 273.692 101615 
22 1.06515e-06 1.78346 10.435 273.346 101519 
3 1.23855e-07 1.78577 18.2924 273.12 101566 
7 3.22023e-07 1.78297 17.2811 273.104 101401 
11 5.20191e-07 1.78056 15.2141 273.876 101550 
15 7.18359e-07 1.78305 12.7015 273.685 101622 
19 9.16527e-07 1.7822 11.4742 273.811 101619 
23 1.11469e-06 1.77995 9.85682 273.461 101362 
4 1.73397e-07 1.78547 18.064 273.167 101566 
8 3.71565e-07 1.77865 16.5529 273.287 101223 
12 5.69733e-07 1.78191 14.6723 273.548 101505 
16 7.67901e-07 1.78243 12.3054 273.399 101480 
20 9.66069e-07 1.78005 11.0948 273.643 101434 
24 1.16424e-06 1.78272 9.68534 273.502 101534 
26 1.26332e-06 1.77521 9.1824 274.308 101405 
30 1.46149e-06 1.77739 7.36078 274.009 101419 
34 1.65966e-06 1.78277 6.30977 273.41 101503 
38 1.85782e-06 1.78078 5.00983 273.782 101528 
42 2.05599e-06 1.78103 2.91331 273.713 101517 
46 2.25416e-06 1.77619 1.11919 274.216 101427 
50 2.45233e-06 1.77757 -0.24582 274.231 101511 
29 1.41195e-06 1.77649 7.73606 274.325 101484 
33 1.61012e-06 1.78211 7.04594 273.593 101533 
37 1.80828e-06 1.78275 5.15455 273.429 101509 
41 2.00645e-06 1.78192 3.4707 273.785 101594 
45 2.20462e-06 1.77856 1.83444 274.24 101571 
49 2.40279e-06 1.77723 -0.0698837 274.231 101492 
27 1.31286e-06 1.77818 8.8957 273.878 101415 
31 1.51103e-06 1.78008 7.32501 273.728 101468 
35 1.7092e-06 1.78269 6.16278 273.431 101507 
39 1.90737e-06 1.7831 4.41486 273.678 101622 
43 2.10553e-06 1.78139 2.69782 273.7 101532 
47 2.3037e-06 1.77763 0.611447 274.423 101585 
28 1.3624e-06 1.77952 8.50272 273.986 101531 
32 1.56057e-06 1.78416 7.09787 273.264 101528 
36 1.75874e-06 1.78257 5.25088 273.452 101507 
40 1.95691e-06 1.78215 3.99777 273.638 101552 
44 2.15508e-06 1.77879 1.94406 273.975 101486 
48 2.35324e-06 1.77887 -0.136744 274.34 101625 
51 2.50187e-06 1.77794 -0.629534 274.125 101493 
55 2.70004e-06 1.78227 -2.1183 273.743 101598 
59 2.89821e-06 1.78787 -3.58111 272.871 101593 
63 3.09637e-06 1.78656 -5.81805 273.03 101578 
67 3.29454e-06 1.78715 -6.04256 272.95 101581 
71 3.49271e-06 1.78799 -7.85078 272.855 101594 
75 3.69088e-06 1.78567 -8.69249 273.126 101563 
53 2.60096e-06 1.77888 -1.31736 273.895 101461 
57 2.79912e-06 1.7846 -3.24959 273.119 101499 
61 2.99729e-06 1.78539 -4.26762 273.033 101512 
65 3.19546e-06 1.78485 -5.85572 272.951 101451 
69 3.39363e-06 1.78724 -7.18688 272.693 101491 
73 3.5918e-06 1.78633 -8.37823 272.653 101424 
54 2.6505e-06 1.77898 -1.89401 273.953 101488 
58 2.84867e-06 1.78481 -3.16557 272.961 101452 
62 3.04683e-06 1.78736 -5.0847 272.818 101544 
66 3.245e-06 1.78723 -6.37838 272.914 101572 
70 3.44317e-06 1.78972 -7.0825 272.243 101464 
74 3.64134e-06 1.78605 -9.07975 273.052 101557 
52 2.55141e-06 1.7796 -0.895826 273.927 101515 
56 2.74958e-06 1.78161 -2.43541 273.712 101549 
60 2.94775e-06 1.78751 -3.93085 273.072 101647 
64 3.14592e-06 1.7834 -5.39121 273.153 101444 
68 3.34408e-06 1.78425 -6.69883 273 101435 
72 3.54225e-06 1.78418 -8.16008 273.124 101477 
76 3.74042e-06 1.78533 -9.36023 273.197 101570 
80 3.93859e-06 1.78557 -11.2365 273.08 101540 
84 4.13676e-06 1.79069 -13.2942 272.641 101668 
88 4.33492e-06 1.78828 -15.26 272.899 101626 
92 4.53309e-06 1.78133 -16.3817 273.751 101548 
96 4.73126e-06 1.7828 -17.9351 273.671 101602 
100 4.92943e-06 1.78621 -19.718 272.988 101542 
77 3.78996e-06 1.78623 -10.392 272.914 101516 
81 3.98813e-06 1.78538 -11.5223 273.006 101502 
85 4.1863e-06 1.78945 -13.8582 272.744 101635 
89 4.38447e-06 1.78593 -15.092 272.856 101477 
93 4.58263e-06 1.78439 -16.9241 273.324 101563 
97 4.7808e-06 1.78318 -18.1391 273.483 101553 
78 3.8395e-06 1.78408 -10.87 272.955 101409 
82 4.03767e-06 1.78587 -11.5052 273.262 101625 
86 4.23584e-06 1.78817 -14.0122 273.062 101681 
90 4.43401e-06 1.78462 -15.9526 273.202 101531 
94 4.63218e-06 1.78394 -17.3253 273.353 101549 
98 4.83034e-06 1.78518 -18.61 272.969 101476 
79 3.88905e-06 1.78375 -10.6159 273.103 101445 
83 4.08721e-06 1.78639 -12.4059 273.105 101596 
87 4.28538e-06 1.78794 -14.432 272.933 101620 
91 4.48355e-06 1.78165 -15.6825 273.605 101512 
95 4.68172e-06 1.78428 -17.6895 273.429 101596 
99 4.87989e-06 1.78594 -18.8621 273.075 101559 
