ITEM: TIMESTEP
100000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78584 19.6875 272.87 101477 
5 2.22939e-07 1.78412 18.6965 272.711 101320 
9 4.21107e-07 1.78814 17.4559 272.646 101524 
13 6.19275e-07 1.7858 14.8981 272.692 101409 
17 8.17443e-07 1.78462 13.596 272.912 101424 
21 1.01561e-06 1.78591 11.5573 272.93 101504 
25 1.21378e-06 1.78567 10.6041 272.911 101483 
2 7.4313e-08 1.78603 19.0868 272.926 101509 
6 2.72481e-07 1.78564 18.5166 272.714 101408 
10 4.70649e-07 1.7884 16.749 272.408 101451 
14 6.68817e-07 1.78608 14.2676 272.61 101394 
18 8.66985e-07 1.78308 13.2258 272.816 101300 
22 1.06515e-06 1.78593 11.1674 272.987 101526 
3 1.23855e-07 1.78536 18.7019 273.083 101529 
7 3.22023e-07 1.78509 18.312 272.778 101400 
11 5.20191e-07 1.7859 16.1838 272.745 101434 
15 7.18359e-07 1.78629 14.2908 272.603 101403 
19 9.16527e-07 1.78712 12.5399 273.019 101605 
23 1.11469e-06 1.78513 10.9121 273.098 101522 
4 1.73397e-07 1.78514 18.9803 272.81 101415 
8 3.71565e-07 1.78699 17.7409 272.81 101520 
12 5.69733e-07 1.78799 15.5416 272.47 101450 
16 7.67901e-07 1.78508 13.7798 272.677 101362 
20 9.66069e-07 1.78617 12.3034 272.872 101497 
24 1.16424e-06 1.78492 10.518 272.944 101452 
26 1.26332e-06 1.78663 9.79387 272.995 101569 
30 1.46149e-06 1.78731 8.77775 272.628 101470 
34 1.65966e-06 1.78922 7.19492 272.66 101591 
38 1.85782e-06 1.78636 5.74732 272.556 101390 
42 2.05599e-06 1.78172 4.42067 273.513 101482 
46 2.25416e-06 1.78134 3.15338 273.506 101458 
50 2.45233e-06 1.78069 1.7353 273.672 101482 
29 1.41195e-06 1.78672 9.23445 272.826 101510 
33 1.61012e-06 1.78449 7.29688 272.922 101420 
37 1.80828e-06 1.78636 6.09256 272.683 101437 
41 2.00645e-06 1.78322 4.68077 273.532 101574 
45 2.20462e-06 1.78086 3.14945 273.333 101366 
49 2.40279e-06 1.78036 1.89941 273.75 101492 
27 1.31286e-06 1.78611 9.26988 273.026 101551 
31 1.51103e-06 1.78609 8.36467 272.645 101408 
35 1.7092e-06 1.78531 6.69852 272.857 101442 
39 1.90737e-06 1.78363 5.41746 273.062 101423 
43 2.10553e-06 1.77908 4.16211 273.516 101332 
47 2.3037e-06 1.77883 2.77249 273.759 101408 
28 1.3624e-06 1.78506 9.36526 272.857 101428 
32 1.56057e-06 1.7837 7.73822 273.189 101474 
36 1.75874e-06 1.78589 6.19222 272.739 101431 
40 1.95691e-06 1.78194 5.21882 273.044 101320 
44 2.15508e-06 1.78063 3.52803 273.535 101427 
48 2.35324e-06 1.78054 2.37309 273.585 101441 
51 2.50187e-06 1.78103 1.02946 273.51 101441 
55 2.70004e-06 1.78022 -0.851087 273.909 101543 
59 2.89821e-06 1.78252 -3.01704 273.711 101600 
63 3.09637e-06 1.78039 -4.5078 273.89 101545 
67 3.29454e-06 1.78003 -5.92507 273.72 101462 
71 3.49271e-06 1.78507 -7.79785 273.195 101554 
75 3.69088e-06 1.78308 -9.42737 273.191 101439 
53 2.60096e-06 1.7812 -0.054199 273.762 101544 
57 2.79912e-06 1.77868 -1.82946 273.629 101351 
61 2.99729e-06 1.77817 -3.8142 273.801 101386 
65 3.19546e-06 1.77961 -5.19872 273.672 101420 
69 3.39363e-06 1.78145 -7.08963 273.526 101471 
73 3.5918e-06 1.78535 -9.12989 273.191 101569 
54 2.6505e-06 1.78073 -0.490894 273.838 101546 
58 2.84867e-06 1.7813 -2.37873 273.552 101472 
62 3.04683e-06 1.78137 -4.43696 273.588 101489 
66 3.245e-06 1.77925 -5.68857 273.74 101425 
70 3.44317e-06 1.78326 -7.40238 273.409 101531 
74 3.64134e-06 1.78168 -9.34927 273.546 101492 
52 2.55141e-06 1.7797 0.604213 273.934 101522 
56 2.74958e-06 1.77768 -1.35253 273.948 101413 
60 2.94775e-06 1.78141 -3.32677 273.662 101519 
64 3.14592e-06 1.78044 -5.0507 273.772 101504 
68 3.34408e-06 1.77967 -6.53579 273.754 101454 
72 3.54225e-06 1.78459 -8.44309 273.165 101515 
76 3.74042e-06 1.78576 -9.78407 272.933 101496 
80 3.93859e-06 1.78015 -10.765 273.679 101454 
84 4.13676e-06 1.77868 -13.027 273.989 101485 
88 4.33492e-06 1.78104 -14.2644 273.573 101465 
92 4.53309e-06 1.78165 -15.8265 273.485 101467 
96 4.73126e-06 1.78298 -18.3839 273.55 101567 
100 4.92943e-06 1.78279 -19.8135 273.427 101511 
77 3.78996e-06 1.78481 -10.2848 273.194 101539 
81 3.98813e-06 1.77881 -11.4358 273.931 101471 
85 4.1863e-06 1.77961 -13.4064 273.753 101450 
89 4.38447e-06 1.78275 -14.407 273.342 101477 
93 4.58263e-06 1.78159 -16.765 273.533 101481 
97 4.7808e-06 1.78357 -18.428 273.14 101448 
78 3.8395e-06 1.78238 -10.8229 273.336 101453 
82 4.03767e-06 1.77951 -11.5753 273.749 101443 
86 4.23584e-06 1.78338 -13.4475 273.499 101571 
90 4.43401e-06 1.78276 -14.7857 273.497 101535 
94 4.63218e-06 1.78007 -17.659 273.915 101537 
98 4.83034e-06 1.78242 -19.5415 273.503 101518 
79 3.88905e-06 1.78269 -10.5932 273.53 101543 
83 4.08721e-06 1.77881 -12.3611 273.948 101477 
87 4.28538e-06 1.78326 -13.9841 273.406 101529 
91 4.48355e-06 1.78124 -15.1805 273.404 101413 
95 4.68172e-06 1.78027 -17.9522 273.745 101485 
99 4.87989e-06 1.78395 -19.6919 273.398 101566 
