ITEM: TIMESTEP
75000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78415 19.307 272.945 101409 
5 2.22939e-07 1.78326 18.2164 272.871 101331 
9 4.21107e-07 1.78825 17.3975 272.639 101528 
13 6.19275e-07 1.78584 14.5813 272.6 101377 
17 8.17443e-07 1.78941 13.685 272.367 101492 
21 1.01561e-06 1.78831 12.0175 272.221 101376 
25 1.21378e-06 1.78642 10.4032 272.483 101366 
2 7.4313e-08 1.78259 18.9962 273.116 101384 
6 2.72481e-07 1.7848 18.1779 273.242 101556 
10 4.70649e-07 1.78386 16.3502 273.049 101431 
14 6.68817e-07 1.78523 14.2732 272.539 101319 
18 8.66985e-07 1.79179 13.6395 272.109 101531 
22 1.06515e-06 1.78816 11.2271 272.346 101414 
3 1.23855e-07 1.78367 18.438 273.265 101501 
7 3.22023e-07 1.78554 18.3173 272.769 101422 
11 5.20191e-07 1.7856 15.7747 272.744 101417 
15 7.18359e-07 1.78629 14.0407 272.696 101438 
19 9.16527e-07 1.79101 12.7491 271.887 101404 
23 1.11469e-06 1.78708 11.2547 272.468 101398 
4 1.73397e-07 1.78251 18.5486 273.095 101372 
8 3.71565e-07 1.78359 18.09 272.805 101326 
12 5.69733e-07 1.78669 15.1991 272.869 101525 
16 7.67901e-07 1.78855 13.8754 272.146 101361 
20 9.66069e-07 1.7903 12.5355 272.071 101432 
24 1.16424e-06 1.78424 10.6035 272.56 101271 
26 1.26332e-06 1.78968 9.83109 272.328 101493 
30 1.46149e-06 1.78831 7.75002 272.256 101389 
34 1.65966e-06 1.78502 6.00478 272.889 101438 
38 1.85782e-06 1.78606 4.7628 272.672 101416 
42 2.05599e-06 1.78498 3.15687 272.821 101410 
46 2.25416e-06 1.78027 1.06722 273.627 101441 
50 2.45233e-06 1.77857 -0.111567 273.7 101372 
29 1.41195e-06 1.78959 8.59787 272.261 101463 
33 1.61012e-06 1.7868 6.42799 272.53 101405 
37 1.80828e-06 1.78352 4.96494 272.757 101304 
41 2.00645e-06 1.78416 3.63402 273.009 101434 
45 2.20462e-06 1.78193 1.70193 273.398 101451 
49 2.40279e-06 1.78098 0.370987 273.508 101438 
27 1.31286e-06 1.78861 9.33734 272.233 101397 
31 1.51103e-06 1.78648 7.46646 272.367 101327 
35 1.7092e-06 1.78614 5.70825 272.39 101316 
39 1.90737e-06 1.78529 4.17322 272.759 101405 
43 2.10553e-06 1.78338 2.62883 273.144 101439 
47 2.3037e-06 1.7808 0.945554 273.585 101456 
28 1.3624e-06 1.78839 8.93578 272.526 101494 
32 1.56057e-06 1.78815 6.87057 272.271 101385 
36 1.75874e-06 1.78341 5.75125 272.67 101265 
40 1.95691e-06 1.78518 3.98371 272.752 101396 
44 2.15508e-06 1.78268 1.90669 273.245 101437 
48 2.35324e-06 1.77949 0.921703 273.698 101423 
51 2.50187e-06 1.7791 -0.379715 273.633 101376 
55 2.70004e-06 1.77555 -1.86387 274.25 101403 
59 2.89821e-06 1.77828 -3.12973 273.928 101440 
63 3.09637e-06 1.77813 -4.47802 273.942 101436 
67 3.29454e-06 1.77945 -6.50664 273.864 101482 
71 3.49271e-06 1.78346 -8.16385 273.396 101537 
75 3.69088e-06 1.78116 -9.15747 273.383 101402 
53 2.60096e-06 1.77676 -1.17949 274.038 101393 
57 2.79912e-06 1.77526 -2.33594 274.449 101460 
61 2.99729e-06 1.77988 -3.94835 273.431 101347 
65 3.19546e-06 1.77839 -5.48854 273.856 101419 
69 3.39363e-06 1.78082 -7.34722 273.743 101515 
73 3.5918e-06 1.77969 -9.23383 273.37 101313 
54 2.6505e-06 1.77486 -1.57905 274.304 101383 
58 2.84867e-06 1.7773 -2.57976 274 101410 
62 3.04683e-06 1.77797 -4.23636 273.573 101290 
66 3.245e-06 1.77831 -6.0499 273.655 101340 
70 3.44317e-06 1.78275 -7.74185 273.517 101542 
74 3.64134e-06 1.7812 -9.37904 273.389 101406 
52 2.55141e-06 1.77641 -0.983318 274.004 101361 
56 2.74958e-06 1.77545 -1.99432 274.166 101366 
60 2.94775e-06 1.77799 -3.33606 273.922 101421 
64 3.14592e-06 1.77775 -5.1209 273.77 101351 
68 3.34408e-06 1.77828 -6.91875 273.869 101417 
72 3.54225e-06 1.78124 -8.33485 273.416 101419 
76 3.74042e-06 1.78246 -9.50357 273.11 101374 
80 3.93859e-06 1.78041 -10.7528 273.467 101390 
84 4.13676e-06 1.78649 -11.6875 272.937 101539 
88 4.33492e-06 1.78567 -13.8628 272.698 101403 
92 4.53309e-06 1.77955 -15.7959 273.582 101383 
96 4.73126e-06 1.78238 -17.7287 273.223 101412 
100 4.92943e-06 1.78672 -19.3593 272.714 101469 
77 3.78996e-06 1.78115 -10.0364 273.25 101351 
81 3.98813e-06 1.78118 -11.5471 273.483 101439 
85 4.1863e-06 1.78419 -12.2955 272.969 101420 
89 4.38447e-06 1.78286 -14.4262 272.915 101324 
93 4.58263e-06 1.78111 -16.7156 273.456 101426 
97 4.7808e-06 1.78503 -17.9765 273.097 101516 
78 3.8395e-06 1.78263 -10.4334 273.389 101487 
82 4.03767e-06 1.77997 -11.6845 273.399 101340 
86 4.23584e-06 1.78406 -13.0618 272.819 101357 
90 4.43401e-06 1.78051 -14.798 273.26 101319 
94 4.63218e-06 1.78069 -17.2285 273.396 101380 
98 4.83034e-06 1.78489 -18.5871 272.881 101427 
79 3.88905e-06 1.78166 -10.3386 273.27 101388 
83 4.08721e-06 1.78458 -11.8606 272.962 101440 
87 4.28538e-06 1.78574 -13.7658 272.727 101418 
91 4.48355e-06 1.77932 -15.1276 273.405 101305 
95 4.68172e-06 1.78271 -17.4975 273.242 101437 
99 4.87989e-06 1.78493 -19.3365 272.575 101316 
