ITEM: TIMESTEP
100000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78362 18.9312 273.155 101457 
5 2.22939e-07 1.7836 18.0821 273.074 101426 
9 4.21107e-07 1.78342 16.699 273.119 101432 
13 6.19275e-07 1.7834 15.3736 273.159 101446 
17 8.17443e-07 1.78369 13.686 273.124 101449 
21 1.01561e-06 1.78264 12.0093 273.283 101449 
25 1.21378e-06 1.78343 10.4851 273.218 101469 
2 7.4313e-08 1.78373 18.7029 273.016 101411 
6 2.72481e-07 1.78355 17.7889 273.158 101454 
10 4.70649e-07 1.78401 16.5138 273.173 101486 
14 6.68817e-07 1.78397 14.8852 273.103 101457 
18 8.66985e-07 1.78357 13.25 273.248 101489 
22 1.06515e-06 1.78297 11.7494 273.164 101423 
3 1.23855e-07 1.78402 18.6485 273.083 101453 
7 3.22023e-07 1.78453 17.4928 273.055 101471 
11 5.20191e-07 1.78414 16.171 273.155 101486 
15 7.18359e-07 1.78369 14.5885 273.16 101463 
19 9.16527e-07 1.78242 12.9022 273.179 101397 
23 1.11469e-06 1.78243 11.2305 273.154 101389 
4 1.73397e-07 1.78402 18.2725 273.072 101449 
8 3.71565e-07 1.78401 17.115 273.173 101486 
12 5.69733e-07 1.78314 15.7796 273.177 101437 
16 7.67901e-07 1.78325 14.2083 273.13 101427 
20 9.66069e-07 1.78264 12.5508 273.19 101414 
24 1.16424e-06 1.78293 10.9839 273.248 101452 
26 1.26332e-06 1.78293 10.0161 273.275 101462 
30 1.46149e-06 1.7814 8.49648 273.4 101421 
34 1.65966e-06 1.7818 6.89962 273.443 101460 
38 1.85782e-06 1.78184 5.20175 273.455 101467 
42 2.05599e-06 1.7823 3.49574 273.298 101435 
46 2.25416e-06 1.78191 1.80153 273.366 101438 
50 2.45233e-06 1.78244 0.191799 273.37 101470 
29 1.41195e-06 1.78292 8.83356 273.302 101472 
33 1.61012e-06 1.78199 7.27226 273.401 101455 
37 1.80828e-06 1.78178 5.52433 273.388 101439 
41 2.00645e-06 1.78114 3.93412 273.284 101364 
45 2.20462e-06 1.78271 2.26665 273.325 101468 
49 2.40279e-06 1.78157 0.722652 273.475 101459 
27 1.31286e-06 1.78305 9.57995 273.341 101493 
31 1.51103e-06 1.78245 7.94972 273.384 101475 
35 1.7092e-06 1.78223 6.40658 273.346 101449 
39 1.90737e-06 1.78135 4.77832 273.372 101408 
43 2.10553e-06 1.78155 3.09911 273.323 101402 
47 2.3037e-06 1.78227 1.53834 273.447 101488 
28 1.3624e-06 1.78295 9.19546 273.295 101470 
32 1.56057e-06 1.78204 7.64965 273.342 101436 
36 1.75874e-06 1.78161 5.94886 273.347 101414 
40 1.95691e-06 1.78167 4.30694 273.312 101404 
44 2.15508e-06 1.78199 2.80073 273.386 101450 
48 2.35324e-06 1.7831 1.05357 273.312 101486 
51 2.50187e-06 1.78244 -0.327032 273.275 101434 
55 2.70004e-06 1.78336 -1.91521 273.277 101487 
59 2.89821e-06 1.78315 -3.53919 273.201 101447 
63 3.09637e-06 1.78305 -5.143 273.159 101426 
67 3.29454e-06 1.78333 -6.67773 273.226 101467 
71 3.49271e-06 1.78298 -8.34866 273.137 101414 
75 3.69088e-06 1.78384 -9.95305 273.078 101441 
53 2.60096e-06 1.78221 -0.993953 273.337 101444 
57 2.79912e-06 1.78199 -2.77918 273.272 101408 
61 2.99729e-06 1.78344 -4.31676 273.254 101483 
65 3.19546e-06 1.78369 -5.94033 273.223 101486 
69 3.39363e-06 1.78355 -7.5208 273.113 101437 
73 3.5918e-06 1.78335 -9.11571 273.024 101393 
54 2.6505e-06 1.78204 -1.47581 273.187 101379 
58 2.84867e-06 1.78321 -3.04787 273.255 101470 
62 3.04683e-06 1.78273 -4.77538 273.25 101441 
66 3.245e-06 1.78439 -6.42806 273.187 101513 
70 3.44317e-06 1.78433 -7.87043 273.132 101489 
74 3.64134e-06 1.78328 -9.44627 273.043 101396 
52 2.55141e-06 1.7828 -0.532576 273.453 101520 
56 2.74958e-06 1.78207 -2.17991 273.275 101413 
60 2.94775e-06 1.78348 -3.8834 273.21 101469 
64 3.14592e-06 1.78293 -5.49383 273.284 101465 
68 3.34408e-06 1.78316 -7.01079 273.122 101418 
72 3.54225e-06 1.78335 -8.67393 273.1 101421 
76 3.74042e-06 1.78439 -10.1824 273.189 101514 
80 3.93859e-06 1.78384 -11.8877 273.133 101461 
84 4.13676e-06 1.78294 -13.5223 273.176 101426 
88 4.33492e-06 1.78378 -15.0677 273.168 101471 
92 4.53309e-06 1.7843 -16.5022 273.138 101489 
96 4.73126e-06 1.78357 -17.9304 273.1 101434 
100 4.92943e-06 1.78425 -18.9453 273.073 101462 
77 3.78996e-06 1.78404 -10.7053 273.17 101487 
81 3.98813e-06 1.78407 -12.381 273.076 101453 
85 4.1863e-06 1.78391 -13.8901 273.048 101433 
89 4.38447e-06 1.78361 -15.3981 273.109 101439 
93 4.58263e-06 1.78395 -16.9545 273.08 101448 
97 4.7808e-06 1.78344 -18.1641 273.072 101416 
78 3.8395e-06 1.78357 -11.0163 273.017 101403 
82 4.03767e-06 1.78371 -12.6728 273.147 101459 
86 4.23584e-06 1.78422 -14.4124 273.172 101497 
90 4.43401e-06 1.78376 -15.9177 273.118 101451 
94 4.63218e-06 1.78384 -17.3247 273.165 101473 
98 4.83034e-06 1.78355 -18.5521 273.167 101457 
79 3.88905e-06 1.78345 -11.4966 273.15 101445 
83 4.08721e-06 1.78305 -13.0995 273.229 101452 
87 4.28538e-06 1.78378 -14.7177 273.124 101454 
91 4.48355e-06 1.78334 -16.2101 273.014 101389 
95 4.68172e-06 1.78296 -17.6561 273.046 101379 
99 4.87989e-06 1.78406 -18.707 273.078 101453 
