ITEM: TIMESTEP
120000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78467 18.9224 272.821 101392 
5 2.22939e-07 1.78519 17.7502 273.083 101519 
9 4.21107e-07 1.78459 16.4483 272.892 101414 
13 6.19275e-07 1.78337 15.0199 273.19 101456 
17 8.17443e-07 1.78246 13.277 273.101 101371 
21 1.01561e-06 1.78336 11.6821 273.168 101447 
25 1.21378e-06 1.78434 10.0444 273.213 101520 
2 7.4313e-08 1.78518 18.5876 272.914 101456 
6 2.72481e-07 1.78485 17.7061 272.959 101454 
10 4.70649e-07 1.78573 16.1845 272.887 101477 
14 6.68817e-07 1.78507 14.7158 273.158 101540 
18 8.66985e-07 1.7837 12.8116 273.149 101459 
22 1.06515e-06 1.78414 11.2614 273.168 101491 
3 1.23855e-07 1.7845 18.4803 272.99 101446 
7 3.22023e-07 1.78505 17.1981 272.977 101472 
11 5.20191e-07 1.78421 15.6649 273.147 101487 
15 7.18359e-07 1.78388 14.1683 273.195 101486 
19 9.16527e-07 1.78238 12.5106 273.176 101394 
23 1.11469e-06 1.78279 10.7702 273.128 101400 
4 1.73397e-07 1.78639 18.3471 273.18 101624 
8 3.71565e-07 1.78605 16.8889 273.077 101566 
12 5.69733e-07 1.78438 15.3931 273.067 101467 
16 7.67901e-07 1.7837 13.7666 273.031 101415 
20 9.66069e-07 1.78385 12.3176 273.131 101461 
24 1.16424e-06 1.78191 10.5783 273.147 101356 
26 1.26332e-06 1.78377 9.77892 273.233 101494 
30 1.46149e-06 1.78305 8.10611 273.334 101491 
34 1.65966e-06 1.78215 6.6908 273.233 101402 
38 1.85782e-06 1.78194 5.1314 273.434 101465 
42 2.05599e-06 1.78246 3.41224 273.366 101469 
46 2.25416e-06 1.7815 2.01971 273.469 101453 
50 2.45233e-06 1.78177 0.516557 273.45 101461 
29 1.41195e-06 1.78362 8.51619 273.367 101536 
33 1.61012e-06 1.78215 7.05522 273.428 101475 
37 1.80828e-06 1.7814 5.60502 273.357 101405 
41 2.00645e-06 1.78291 3.96383 273.446 101524 
45 2.20462e-06 1.78103 2.37664 273.382 101394 
49 2.40279e-06 1.78029 0.605568 273.512 101400 
27 1.31286e-06 1.78347 9.43423 273.261 101487 
31 1.51103e-06 1.7816 7.75263 273.348 101413 
35 1.7092e-06 1.78176 6.08055 273.339 101419 
39 1.90737e-06 1.78093 4.79407 273.491 101428 
43 2.10553e-06 1.78241 3.08635 273.496 101515 
47 2.3037e-06 1.78128 1.74937 273.474 101442 
28 1.3624e-06 1.78348 9.03946 273.215 101471 
32 1.56057e-06 1.7824 7.27974 273.43 101490 
36 1.75874e-06 1.7819 5.74592 273.435 101463 
40 1.95691e-06 1.78158 4.32856 273.473 101459 
44 2.15508e-06 1.78123 2.84975 273.465 101436 
48 2.35324e-06 1.78143 1.14917 273.251 101368 
51 2.50187e-06 1.78255 -0.0767517 273.527 101534 
55 2.70004e-06 1.78293 -1.74541 273.442 101524 
59 2.89821e-06 1.78373 -3.16854 273.334 101530 
63 3.09637e-06 1.78345 -4.83535 273.246 101481 
67 3.29454e-06 1.78256 -6.64014 273.331 101462 
71 3.49271e-06 1.78243 -8.21484 273.337 101456 
75 3.69088e-06 1.78193 -9.98832 273.347 101432 
53 2.60096e-06 1.78232 -0.853649 273.372 101463 
57 2.79912e-06 1.78249 -2.26261 273.361 101469 
61 2.99729e-06 1.78195 -4.29265 273.261 101401 
65 3.19546e-06 1.78226 -5.84949 273.277 101425 
69 3.39363e-06 1.7831 -7.54019 273.458 101540 
73 3.5918e-06 1.78254 -9.1083 273.407 101489 
54 2.6505e-06 1.78289 -1.19933 273.482 101537 
58 2.84867e-06 1.78108 -2.90146 273.24 101344 
62 3.04683e-06 1.7824 -4.69547 273.409 101482 
66 3.245e-06 1.78239 -6.22372 273.403 101479 
70 3.44317e-06 1.78268 -7.79088 273.213 101425 
74 3.64134e-06 1.78195 -9.78608 273.323 101424 
52 2.55141e-06 1.78307 -0.429873 273.421 101524 
56 2.74958e-06 1.78223 -2.12616 273.411 101472 
60 2.94775e-06 1.78263 -3.6446 273.322 101463 
64 3.14592e-06 1.78255 -5.24264 273.35 101468 
68 3.34408e-06 1.78354 -6.88323 273.48 101573 
72 3.54225e-06 1.78267 -8.61477 273.429 101504 
76 3.74042e-06 1.78344 -10.2057 273.311 101504 
80 3.93859e-06 1.78302 -12.001 273.314 101482 
84 4.13676e-06 1.78254 -13.7806 273.17 101401 
88 4.33492e-06 1.78403 -15.3596 273.233 101509 
92 4.53309e-06 1.78339 -16.8677 273.188 101456 
96 4.73126e-06 1.78531 -18.2677 273.08 101525 
100 4.92943e-06 1.78435 -19.0745 273.011 101445 
77 3.78996e-06 1.7837 -10.8447 273.214 101484 
81 3.98813e-06 1.7825 -12.3356 273.35 101466 
85 4.1863e-06 1.78227 -14.1276 273.23 101408 
89 4.38447e-06 1.78307 -15.6403 273.087 101400 
93 4.58263e-06 1.78458 -17.0959 272.992 101451 
97 4.7808e-06 1.78389 -18.3139 273.076 101443 
78 3.8395e-06 1.78118 -11.513 273.313 101377 
82 4.03767e-06 1.78364 -12.9587 273.223 101483 
86 4.23584e-06 1.78266 -14.4736 273.261 101442 
90 4.43401e-06 1.78573 -16.0294 273.114 101561 
94 4.63218e-06 1.78455 -17.5647 273.127 101500 
98 4.83034e-06 1.78393 -18.7181 273.044 101433 
79 3.88905e-06 1.78356 -11.7078 273.204 101471 
83 4.08721e-06 1.78342 -13.3599 273.214 101467 
87 4.28538e-06 1.78369 -14.9589 273.137 101454 
91 4.48355e-06 1.78316 -16.5945 273.003 101374 
95 4.68172e-06 1.78408 -17.8078 273.253 101519 
99 4.87989e-06 1.78405 -18.7407 273.057 101445 
