ITEM: TIMESTEP
100000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78355 18.9084 273.062 101418 
5 2.22939e-07 1.78366 18.039 273.025 101411 
9 4.21107e-07 1.78378 16.6589 273.094 101443 
13 6.19275e-07 1.78376 15.248 273.057 101429 
17 8.17443e-07 1.78298 13.6554 273.107 101403 
21 1.01561e-06 1.783 11.9425 273.189 101434 
25 1.21378e-06 1.78338 10.3696 273.165 101447 
2 7.4313e-08 1.78374 18.7293 272.979 101398 
6 2.72481e-07 1.78381 17.7427 273.137 101461 
10 4.70649e-07 1.78389 16.4029 273.094 101450 
14 6.68817e-07 1.78362 14.7999 273.022 101408 
18 8.66985e-07 1.78366 13.1894 273.238 101490 
22 1.06515e-06 1.78272 11.6524 273.141 101400 
3 1.23855e-07 1.78405 18.6124 273.002 101425 
7 3.22023e-07 1.7842 17.4546 273.065 101456 
11 5.20191e-07 1.78373 16.1488 273.053 101425 
15 7.18359e-07 1.78381 14.4904 273.134 101460 
19 9.16527e-07 1.78264 12.8313 273.071 101370 
23 1.11469e-06 1.78246 11.2122 273.163 101394 
4 1.73397e-07 1.78395 18.3079 273.06 101440 
8 3.71565e-07 1.78458 17.1326 273.103 101492 
12 5.69733e-07 1.78343 15.7144 273.046 101405 
16 7.67901e-07 1.78343 14.1459 273.131 101437 
20 9.66069e-07 1.78309 12.4121 273.209 101447 
24 1.16424e-06 1.78261 10.7976 273.197 101415 
26 1.26332e-06 1.78288 9.96226 273.218 101438 
30 1.46149e-06 1.78191 8.39753 273.254 101396 
34 1.65966e-06 1.78258 6.76772 273.274 101442 
38 1.85782e-06 1.7828 5.09649 273.284 101458 
42 2.05599e-06 1.78268 3.42181 273.227 101430 
46 2.25416e-06 1.7825 1.78536 273.265 101434 
50 2.45233e-06 1.78294 0.104651 273.292 101469 
29 1.41195e-06 1.78263 8.77625 273.275 101445 
33 1.61012e-06 1.78278 7.12293 273.309 101466 
37 1.80828e-06 1.7823 5.34566 273.25 101417 
41 2.00645e-06 1.78214 3.85592 273.238 101404 
45 2.20462e-06 1.78277 2.17426 273.234 101438 
49 2.40279e-06 1.78231 0.582783 273.331 101447 
27 1.31286e-06 1.78304 9.51954 273.253 101460 
31 1.51103e-06 1.78261 7.90235 273.265 101440 
35 1.7092e-06 1.7826 6.25485 273.257 101436 
39 1.90737e-06 1.78209 4.61473 273.213 101391 
43 2.10553e-06 1.78226 3.03045 273.259 101418 
47 2.3037e-06 1.78275 1.45785 273.319 101469 
28 1.3624e-06 1.78272 9.07198 273.203 101424 
32 1.56057e-06 1.78248 7.49891 273.252 101428 
36 1.75874e-06 1.78269 5.85021 273.247 101438 
40 1.95691e-06 1.78248 4.20251 273.15 101390 
44 2.15508e-06 1.78229 2.62756 273.274 101425 
48 2.35324e-06 1.78326 0.923447 273.225 101462 
51 2.50187e-06 1.78275 -0.224873 273.227 101434 
55 2.70004e-06 1.78273 -1.86569 273.235 101436 
59 2.89821e-06 1.78319 -3.48836 273.148 101430 
63 3.09637e-06 1.78316 -5.15558 273.134 101423 
67 3.29454e-06 1.78324 -6.73667 273.135 101428 
71 3.49271e-06 1.7833 -8.37443 273.16 101441 
75 3.69088e-06 1.78321 -9.97314 273.131 101425 
53 2.60096e-06 1.78205 -1.03706 273.23 101396 
57 2.79912e-06 1.78277 -2.70616 273.221 101433 
61 2.99729e-06 1.78342 -4.34752 273.221 101470 
65 3.19546e-06 1.78344 -5.88441 273.125 101436 
69 3.39363e-06 1.78322 -7.53917 273.133 101426 
73 3.5918e-06 1.78329 -9.1569 273.11 101421 
54 2.6505e-06 1.78244 -1.47433 273.168 101395 
58 2.84867e-06 1.78278 -3.05054 273.205 101427 
62 3.04683e-06 1.78282 -4.76137 273.151 101410 
66 3.245e-06 1.78384 -6.39581 273.185 101480 
70 3.44317e-06 1.7833 -7.90354 273.149 101436 
74 3.64134e-06 1.78268 -9.49232 273.081 101376 
52 2.55141e-06 1.78342 -0.612374 273.278 101491 
56 2.74958e-06 1.78246 -2.28384 273.194 101405 
60 2.94775e-06 1.78307 -3.86406 273.19 101438 
64 3.14592e-06 1.78274 -5.52954 273.21 101427 
68 3.34408e-06 1.78323 -7.08368 273.155 101435 
72 3.54225e-06 1.78271 -8.73668 273.115 101390 
76 3.74042e-06 1.78359 -10.3256 273.185 101466 
80 3.93859e-06 1.78321 -11.9909 273.167 101438 
84 4.13676e-06 1.78303 -13.647 273.117 101409 
88 4.33492e-06 1.78352 -15.1932 273.145 101447 
92 4.53309e-06 1.78316 -16.6324 273.184 101441 
96 4.73126e-06 1.78358 -18.0106 273.149 101452 
100 4.92943e-06 1.78349 -18.971 273.058 101413 
77 3.78996e-06 1.78336 -10.812 273.216 101464 
81 3.98813e-06 1.78319 -12.4819 273.135 101425 
85 4.1863e-06 1.78323 -14.0517 273.097 101413 
89 4.38447e-06 1.78341 -15.5033 273.111 101429 
93 4.58263e-06 1.78358 -17.0195 273.142 101450 
97 4.7808e-06 1.78317 -18.2285 273.068 101399 
78 3.8395e-06 1.78344 -11.1367 273.053 101409 
82 4.03767e-06 1.7833 -12.7553 273.163 101441 
86 4.23584e-06 1.78354 -14.4734 273.207 101471 
90 4.43401e-06 1.78378 -16.0225 273.082 101439 
94 4.63218e-06 1.78339 -17.4612 273.128 101434 
98 4.83034e-06 1.78316 -18.5358 273.12 101417 
79 3.88905e-06 1.78301 -11.5496 273.128 101412 
83 4.08721e-06 1.78279 -13.1802 273.215 101432 
87 4.28538e-06 1.78364 -14.8429 273.118 101444 
91 4.48355e-06 1.78339 -16.2489 273.047 101403 
95 4.68172e-06 1.78341 -17.6478 273.066 101412 
99 4.87989e-06 1.7837 -18.755 273.093 101438 
