ITEM: TIMESTEP
2000000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.72366 0.00207017 282.453 101384 
5 2.22939e-07 1.72842 0.00411838 281.628 101366 
9 4.21107e-07 1.73295 0.0949066 280.891 101366 
13 6.19275e-07 1.73772 -0.000596097 280.164 101382 
17 8.17443e-07 1.74199 0.0756954 279.449 101372 
21 1.01561e-06 1.74698 0.156306 278.68 101382 
25 1.21378e-06 1.75148 0.140166 277.935 101372 
2 7.4313e-08 1.72513 -0.0249809 282.214 101384 
6 2.72481e-07 1.72947 0.0208437 281.475 101373 
10 4.70649e-07 1.73419 0.131266 280.705 101372 
14 6.68817e-07 1.73851 0.00809098 279.995 101367 
18 8.66985e-07 1.74365 0.0623889 279.228 101388 
22 1.06515e-06 1.74792 0.0924666 278.5 101372 
3 1.23855e-07 1.72602 -0.00918333 282.034 101372 
7 3.22023e-07 1.73047 0.0800753 281.265 101356 
11 5.20191e-07 1.73544 0.0869652 280.525 101380 
15 7.18359e-07 1.73997 -0.0312303 279.784 101376 
19 9.16527e-07 1.74478 0.0759011 279.022 101379 
23 1.11469e-06 1.74897 0.0573855 278.338 101374 
4 1.73397e-07 1.72739 -0.0150342 281.827 101378 
8 3.71565e-07 1.73218 0.0796601 281.045 101377 
12 5.69733e-07 1.7369 0.0925689 280.343 101399 
16 7.67901e-07 1.74111 0.0282804 279.562 101362 
20 9.66069e-07 1.7458 0.110299 278.812 101362 
24 1.16424e-06 1.75048 0.132289 278.097 101373 
26 1.26332e-06 1.75258 0.108267 277.797 101385 
30 1.46149e-06 1.75684 0.0752899 277.122 101385 
34 1.65966e-06 1.76207 0.00162803 276.284 101379 
38 1.85782e-06 1.76592 0.00347175 275.683 101380 
42 2.05599e-06 1.77106 0.0880921 274.856 101369 
46 2.25416e-06 1.77625 0.00394694 274.068 101375 
50 2.45233e-06 1.78076 0.0745588 273.343 101364 
29 1.41195e-06 1.75527 0.0797928 277.314 101364 
33 1.61012e-06 1.76066 -0.00171109 276.517 101383 
37 1.80828e-06 1.7647 -0.00453463 275.825 101362 
41 2.00645e-06 1.76984 0.102789 275.034 101366 
45 2.20462e-06 1.77503 -0.0109991 274.25 101373 
49 2.40279e-06 1.77982 0.0313891 273.511 101373 
27 1.31286e-06 1.75376 0.129206 277.65 101400 
31 1.51103e-06 1.75771 0.0885226 276.935 101367 
35 1.7092e-06 1.76306 0.0241392 276.129 101379 
39 1.90737e-06 1.76711 -0.0490938 275.476 101372 
43 2.10553e-06 1.77239 0.0110944 274.687 101384 
47 2.3037e-06 1.77762 0.0378803 273.868 101379 
28 1.3624e-06 1.75461 0.139227 277.478 101387 
32 1.56057e-06 1.75932 0.0288033 276.73 101384 
36 1.75874e-06 1.7639 0.0283539 275.998 101379 
40 1.95691e-06 1.76857 0.0325949 275.245 101370 
44 2.15508e-06 1.774 0.0256555 274.451 101388 
48 2.35324e-06 1.77868 0.0321591 273.653 101360 
51 2.50187e-06 1.782 0.05511 273.13 101355 
55 2.70004e-06 1.78691 -0.0552871 272.398 101362 
59 2.89821e-06 1.79177 -0.0665206 271.658 101362 
63 3.09637e-06 1.79793 -0.0331063 270.746 101369 
67 3.29454e-06 1.80296 -0.0826803 269.966 101359 
71 3.49271e-06 1.80785 0.0200895 269.224 101355 
75 3.69088e-06 1.81337 0.0403518 268.42 101361 
53 2.60096e-06 1.78412 0.0691842 272.835 101367 
57 2.79912e-06 1.78963 -0.100781 272.027 101378 
61 2.99729e-06 1.79543 -0.0071972 271.179 101390 
65 3.19546e-06 1.80043 -0.0552278 270.381 101373 
69 3.39363e-06 1.80561 -0.0339522 269.588 101366 
73 3.5918e-06 1.81118 -0.0246189 268.804 101383 
54 2.6505e-06 1.78545 -0.0324364 272.639 101369 
58 2.84867e-06 1.79074 -0.0831028 271.848 101375 
62 3.04683e-06 1.79684 -0.0432054 270.914 101371 
66 3.245e-06 1.80141 -0.0280717 270.245 101377 
70 3.44317e-06 1.80706 0.0383238 269.396 101376 
74 3.64134e-06 1.81226 0.0584855 268.605 101369 
52 2.55141e-06 1.78361 0.113288 272.951 101380 
56 2.74958e-06 1.78816 -0.0822911 272.276 101388 
60 2.94775e-06 1.79343 -0.0619903 271.447 101377 
64 3.14592e-06 1.7989 -0.0620699 270.592 101366 
68 3.34408e-06 1.80443 -0.0595598 269.81 101384 
72 3.54225e-06 1.80949 0.0242955 268.993 101360 
76 3.74042e-06 1.81475 0.0633527 268.247 101373 
80 3.93859e-06 1.81979 0.0522737 267.466 101358 
84 4.13676e-06 1.82508 -0.00132027 266.736 101375 
88 4.33492e-06 1.83051 -0.0917573 265.896 101357 
92 4.53309e-06 1.83586 -0.00319847 265.186 101381 
96 4.73126e-06 1.8419 0.00237974 264.356 101397 
100 4.92943e-06 1.84689 0.00259101 263.554 101363 
77 3.78996e-06 1.81651 0.0665686 268.023 101386 
81 3.98813e-06 1.82096 0.000948487 267.316 101367 
85 4.1863e-06 1.82658 -0.0238197 266.541 101385 
89 4.38447e-06 1.83173 -0.0872081 265.754 101371 
93 4.58263e-06 1.83777 -0.00113833 264.947 101396 
97 4.7808e-06 1.84319 -0.0379539 264.14 101385 
78 3.8395e-06 1.81754 0.0381918 267.833 101372 
82 4.03767e-06 1.82218 -0.00251333 267.129 101364 
86 4.23584e-06 1.82777 -0.0136962 266.355 101380 
90 4.43401e-06 1.8327 -0.0896032 265.593 101363 
94 4.63218e-06 1.83872 -0.0380386 264.709 101357 
98 4.83034e-06 1.84449 -0.0433794 263.936 101378 
79 3.88905e-06 1.81848 0.0291919 267.675 101365 
83 4.08721e-06 1.82392 0.0416132 266.89 101370 
87 4.28538e-06 1.8292 -0.0363844 266.138 101376 
91 4.48355e-06 1.83435 -0.0471308 265.352 101362 
95 4.68172e-06 1.84037 -0.0174778 264.549 101386 
99 4.87989e-06 1.84604 -0.0525865 263.712 101378 
