ITEM: TIMESTEP
75000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78202 19.4956 273.03 101319 
5 2.22939e-07 1.78223 17.7413 273.06 101342 
9 4.21107e-07 1.78337 16.4822 272.801 101311 
13 6.19275e-07 1.78153 14.0545 272.941 101258 
17 8.17443e-07 1.785 13.3641 272.866 101428 
21 1.01561e-06 1.78144 11.7424 272.976 101266 
25 1.21378e-06 1.78377 9.74907 272.742 101312 
2 7.4313e-08 1.78134 19.161 272.961 101255 
6 2.72481e-07 1.78216 17.5189 272.946 101296 
10 4.70649e-07 1.78467 15.5781 272.885 101416 
14 6.68817e-07 1.7816 13.9047 272.63 101147 
18 8.66985e-07 1.78398 12.9438 273.002 101421 
22 1.06515e-06 1.77957 11.0769 272.937 101146 
3 1.23855e-07 1.78592 19.0623 272.642 101397 
7 3.22023e-07 1.78139 17.3279 273.04 101287 
11 5.20191e-07 1.78333 15.1367 272.996 101381 
15 7.18359e-07 1.78184 13.6291 272.879 101253 
19 9.16527e-07 1.78551 13.029 272.661 101381 
23 1.11469e-06 1.78267 10.7518 272.945 101325 
4 1.73397e-07 1.78413 18.4755 272.749 101335 
8 3.71565e-07 1.78196 16.8339 273.035 101318 
12 5.69733e-07 1.78357 14.9303 272.849 101340 
16 7.67901e-07 1.78306 13.6853 272.88 101323 
20 9.66069e-07 1.78345 12.1343 272.717 101284 
24 1.16424e-06 1.78339 10.2786 273.007 101389 
26 1.26332e-06 1.78426 9.87702 272.694 101322 
30 1.46149e-06 1.78375 7.97631 272.617 101264 
34 1.65966e-06 1.78501 5.58466 272.783 101397 
38 1.85782e-06 1.78507 4.23805 272.446 101276 
42 2.05599e-06 1.78517 2.3657 272.338 101242 
46 2.25416e-06 1.78653 0.971421 272.14 101245 
50 2.45233e-06 1.78163 -0.879589 272.767 101200 
29 1.41195e-06 1.78259 8.52398 272.688 101225 
33 1.61012e-06 1.78333 6.519 272.897 101345 
37 1.80828e-06 1.78406 4.89284 272.476 101230 
41 2.00645e-06 1.78673 2.7775 272.314 101321 
45 2.20462e-06 1.78415 1.71899 272.536 101257 
49 2.40279e-06 1.78385 -0.274936 272.707 101303 
27 1.31286e-06 1.78532 9.44898 272.463 101296 
31 1.51103e-06 1.78372 7.57779 272.684 101288 
35 1.7092e-06 1.78032 5.26765 273.065 101236 
39 1.90737e-06 1.7868 3.63555 272.297 101318 
43 2.10553e-06 1.7858 2.0661 272.412 101304 
47 2.3037e-06 1.78559 0.301383 272.539 101340 
28 1.3624e-06 1.78502 9.04894 272.867 101429 
32 1.56057e-06 1.78295 6.93011 272.838 101301 
36 1.75874e-06 1.78244 5.47118 272.826 101268 
40 1.95691e-06 1.78734 3.04243 272.263 101337 
44 2.15508e-06 1.7867 1.85018 272.328 101324 
48 2.35324e-06 1.7867 -0.0207566 272.374 101341 
51 2.50187e-06 1.78165 -1.51389 272.916 101256 
55 2.70004e-06 1.78402 -2.55156 272.595 101271 
59 2.89821e-06 1.78203 -4.90104 272.571 101150 
63 3.09637e-06 1.78276 -6.0183 272.754 101259 
67 3.29454e-06 1.78349 -6.7679 272.633 101256 
71 3.49271e-06 1.78634 -8.25386 272.323 101302 
75 3.69088e-06 1.7802 -10.4476 273.068 101230 
53 2.60096e-06 1.78487 -1.94709 272.549 101302 
57 2.79912e-06 1.78618 -4.01978 272.485 101353 
61 2.99729e-06 1.78164 -5.544 273.034 101299 
65 3.19546e-06 1.78491 -6.45036 272.334 101225 
69 3.39363e-06 1.7816 -7.20212 272.987 101279 
73 3.5918e-06 1.78151 -9.4861 273.16 101338 
54 2.6505e-06 1.78311 -2.68542 272.513 101189 
58 2.84867e-06 1.78468 -4.64379 272.559 101295 
62 3.04683e-06 1.78383 -6.22711 272.711 101304 
66 3.245e-06 1.78424 -6.57704 272.522 101257 
70 3.44317e-06 1.78282 -7.67284 272.619 101213 
74 3.64134e-06 1.7824 -9.96484 272.845 101272 
52 2.55141e-06 1.78362 -1.38516 272.695 101286 
56 2.74958e-06 1.78419 -3.53362 272.877 101386 
60 2.94775e-06 1.78343 -5.37492 272.611 101244 
64 3.14592e-06 1.78369 -6.28211 272.698 101291 
68 3.34408e-06 1.78367 -6.92837 272.866 101352 
72 3.54225e-06 1.78209 -8.87766 272.82 101246 
76 3.74042e-06 1.78214 -10.7045 272.978 101307 
80 3.93859e-06 1.78138 -12.1697 273.171 101335 
84 4.13676e-06 1.77873 -13.5595 273.377 101261 
88 4.33492e-06 1.77918 -15.47 273.282 101251 
92 4.53309e-06 1.78216 -16.2532 272.617 101174 
96 4.73126e-06 1.78362 -17.8391 272.71 101292 
100 4.92943e-06 1.7819 -19.6457 273.032 101313 
77 3.78996e-06 1.78196 -11.0559 273.116 101348 
81 3.98813e-06 1.78009 -12.618 273.206 101275 
85 4.1863e-06 1.77901 -14.0688 273.301 101249 
89 4.38447e-06 1.78273 -15.6182 272.915 101317 
93 4.58263e-06 1.78242 -16.7621 272.758 101241 
97 4.7808e-06 1.78297 -18.087 272.787 101284 
78 3.8395e-06 1.78157 -11.4005 273.105 101322 
82 4.03767e-06 1.78133 -12.7774 273.099 101305 
86 4.23584e-06 1.77906 -14.5756 273.138 101191 
90 4.43401e-06 1.78404 -15.9302 272.786 101344 
94 4.63218e-06 1.78346 -17.5404 272.779 101308 
98 4.83034e-06 1.78249 -18.7586 272.889 101294 
79 3.88905e-06 1.78214 -11.9309 273.145 101369 
83 4.08721e-06 1.78144 -13.2032 273.182 101343 
87 4.28538e-06 1.7788 -14.7081 273.114 101168 
91 4.48355e-06 1.78435 -16.1206 272.609 101296 
95 4.68172e-06 1.78241 -17.2776 272.741 101234 
99 4.87989e-06 1.78128 -19.2751 272.935 101242 
