# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_3[1] c_3[2] c_3[3] c_3[4]
40000 4
1 0.0045 0 0 0
2 0.0045 0 0 0
3 1728.44 101406 -179.097 641.381
4 1728.72 101407 178.929 -95.2632
50000 4
1 0.00485 0 0 0
2 0.00485 0 0 0
3 1729.14 101440 -179.536 -221.902
4 1729.25 101441 179.144 363.894
60000 4
1 0.00406667 0 0 0
2 0.0041 0 0 0
3 1728.87 101420 -179.749 -499.515
4 1728.82 101421 179.732 699.814
70000 4
1 0.003225 0 0 0
2 0.003225 0 0 0
3 1728.83 101417 -179.74 -170.088
4 1728.65 101417 179.466 257.336
80000 4
1 0.00344 0 0 0
2 0.00346 0 0 0
3 1728.7 101414 -178.119 -106.055
4 1728.64 101414 178.252 147.809
90000 4
1 0.00305 0 0 0
2 0.00306667 0 0 0
3 1728.68 101416 -177.968 322.144
4 1728.66 101416 177.885 -224.129
100000 4
1 0.00291429 0 0 0
2 0.00292857 0 0 0
3 1728.69 101416 -178.377 365.166
4 1728.71 101416 178.327 -352.06
110000 4
1 0.002775 0 0 0
2 0.002775 0 0 0
3 1728.69 101416 -178.652 29.3668
4 1728.66 101416 178.619 9.70452
120000 4
1 0.00246667 0 0 0
2 0.00246667 0 0 0
3 1728.74 101418 -178.392 48.3227
4 1728.72 101418 178.363 22.5183
130000 4
1 0.00301 0 0 0
2 0.003 0 0 0
3 1728.78 101421 -178.596 66.544
4 1728.73 101421 178.609 -48.7684
