ITEM: TIMESTEP
60000
ITEM: NUMBER OF CELLS
100
ITEM: BOX BOUNDS pp ss pp
0 1
0 4.9542e-06
-0.5 0.5
ITEM: CELLS id yc f_1[1] f_1[2] f_1[3] f_1[4] 
1 2.4771e-08 1.78376 19.0681 273.057 101428 
5 2.22939e-07 1.78337 18.0924 273.094 101420 
9 4.21107e-07 1.78358 17.0393 272.879 101352 
13 6.19275e-07 1.78371 15.3494 273.071 101431 
17 8.17443e-07 1.78346 13.9593 273.089 101423 
21 1.01561e-06 1.78259 12.2548 273.083 101371 
25 1.21378e-06 1.78056 10.6847 273.143 101279 
2 7.4313e-08 1.78382 18.7599 272.891 101370 
6 2.72481e-07 1.78562 17.9266 272.944 101492 
10 4.70649e-07 1.78266 16.7279 272.946 101325 
14 6.68817e-07 1.78337 14.9286 273.244 101476 
18 8.66985e-07 1.78322 13.4941 273.201 101451 
22 1.06515e-06 1.7822 11.8489 273.068 101344 
3 1.23855e-07 1.78431 18.4627 273.05 101457 
7 3.22023e-07 1.78439 17.4923 272.89 101402 
11 5.20191e-07 1.78367 16.1755 273.093 101437 
15 7.18359e-07 1.78262 14.6893 273.129 101390 
19 9.16527e-07 1.7832 13.0409 273.41 101528 
23 1.11469e-06 1.78227 11.4292 273.124 101369 
4 1.73397e-07 1.78245 18.4776 273.069 101358 
8 3.71565e-07 1.78301 17.2601 272.84 101305 
12 5.69733e-07 1.7834 15.8554 273.081 101417 
16 7.67901e-07 1.78274 14.1825 273.081 101379 
20 9.66069e-07 1.78328 12.7045 273.271 101481 
24 1.16424e-06 1.78308 10.9134 273.126 101415 
26 1.26332e-06 1.78101 10.1284 273.036 101265 
30 1.46149e-06 1.78272 8.39713 273.183 101416 
34 1.65966e-06 1.78259 6.7557 273.142 101393 
38 1.85782e-06 1.7848 5.13476 273.183 101534 
42 2.05599e-06 1.78274 3.4108 272.872 101302 
46 2.25416e-06 1.78264 1.68319 272.948 101324 
50 2.45233e-06 1.78304 -0.00646836 273.142 101419 
29 1.41195e-06 1.78237 8.91451 273.104 101367 
33 1.61012e-06 1.78282 7.12496 273.126 101400 
37 1.80828e-06 1.78293 5.45875 273.29 101468 
41 2.00645e-06 1.78167 3.76262 273.076 101317 
45 2.20462e-06 1.78276 2.35423 272.999 101350 
49 2.40279e-06 1.78356 0.460648 273.174 101461 
27 1.31286e-06 1.78241 9.73395 273.089 101364 
31 1.51103e-06 1.78429 8.08485 273.095 101473 
35 1.7092e-06 1.78165 6.28637 273.278 101391 
39 1.90737e-06 1.78294 4.41523 273.26 101457 
43 2.10553e-06 1.78305 2.86708 272.94 101345 
47 2.3037e-06 1.78423 1.11803 272.882 101390 
28 1.3624e-06 1.78241 9.58476 273.105 101369 
32 1.56057e-06 1.78125 7.74772 273.157 101323 
36 1.75874e-06 1.78331 5.78101 273.132 101430 
40 1.95691e-06 1.78226 4.09913 272.975 101313 
44 2.15508e-06 1.78335 2.57153 273.006 101386 
48 2.35324e-06 1.78314 1.18709 272.935 101348 
51 2.50187e-06 1.78393 -0.393734 272.968 101405 
55 2.70004e-06 1.78208 -1.86455 273.129 101359 
59 2.89821e-06 1.78357 -3.42624 273.04 101411 
63 3.09637e-06 1.78237 -5.04122 272.998 101327 
67 3.29454e-06 1.78216 -6.85738 273.056 101337 
71 3.49271e-06 1.78413 -8.41859 273.022 101437 
75 3.69088e-06 1.7837 -10.0669 272.945 101384 
53 2.60096e-06 1.78398 -1.14033 272.974 101410 
57 2.79912e-06 1.78294 -2.77752 272.985 101355 
61 2.99729e-06 1.78297 -4.25493 273.124 101408 
65 3.19546e-06 1.78376 -6.04784 273.134 101457 
69 3.39363e-06 1.78344 -7.67445 273.148 101444 
73 3.5918e-06 1.78358 -9.19567 273.299 101508 
54 2.6505e-06 1.78226 -1.35485 273.013 101327 
58 2.84867e-06 1.78243 -2.98842 272.996 101330 
62 3.04683e-06 1.78228 -4.82551 273.102 101361 
66 3.245e-06 1.78344 -6.42701 273.128 101437 
70 3.44317e-06 1.78386 -8.03779 273.038 101427 
74 3.64134e-06 1.78219 -9.68335 272.922 101289 
52 2.55141e-06 1.78324 -0.661574 272.821 101311 
56 2.74958e-06 1.78348 -2.28129 273.228 101476 
60 2.94775e-06 1.78333 -3.76408 273.185 101451 
64 3.14592e-06 1.78295 -5.59632 272.993 101359 
68 3.34408e-06 1.78384 -7.18485 273.043 101428 
72 3.54225e-06 1.7828 -8.91109 273.083 101383 
76 3.74042e-06 1.78295 -10.5347 273.087 101394 
80 3.93859e-06 1.78276 -12.0102 273.1 101387 
84 4.13676e-06 1.78267 -13.8562 272.994 101343 
88 4.33492e-06 1.78258 -15.2849 272.923 101312 
92 4.53309e-06 1.78418 -16.6919 272.986 101426 
96 4.73126e-06 1.7837 -18.2036 272.877 101358 
100 4.92943e-06 1.78355 -18.9868 273.186 101464 
77 3.78996e-06 1.78335 -10.8642 273.023 101392 
81 3.98813e-06 1.78373 -12.4818 273.048 101423 
85 4.1863e-06 1.78296 -14.1283 273.006 101364 
89 4.38447e-06 1.78368 -15.6826 272.967 101390 
93 4.58263e-06 1.78298 -17.1679 272.837 101302 
97 4.7808e-06 1.78335 -18.4384 273.134 101434 
78 3.8395e-06 1.78365 -11.4385 273.059 101423 
82 4.03767e-06 1.78415 -12.9123 273.09 101463 
86 4.23584e-06 1.78331 -14.5066 273 101382 
90 4.43401e-06 1.78381 -15.9769 272.925 101382 
94 4.63218e-06 1.78259 -17.3442 272.981 101334 
98 4.83034e-06 1.7823 -18.6876 273.13 101372 
79 3.88905e-06 1.78322 -11.604 272.918 101346 
83 4.08721e-06 1.78331 -13.2013 273.149 101437 
87 4.28538e-06 1.78414 -14.8762 272.924 101400 
91 4.48355e-06 1.78359 -16.3753 272.991 101395 
95 4.68172e-06 1.78316 -17.7872 273.054 101393 
99 4.87989e-06 1.78274 -18.6503 273.063 101373 
