ITEM: TIMESTEP
400
ITEM: NUMBER OF CELLS
59460
ITEM: BOX BOUNDS oo ro pp
-0.002 0.012857
0 0.002
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-0.00185143 3.33333e-05 1.37766e+25 -75.822 0.837717 190.791 
-0.000774298 1.85185e-06 2.42833e+25 29.5086 2.77219 254.421 
-0.000774298 5.55556e-06 2.22355e+25 14.5983 0.117782 250.468 
-0.000774298 9.25926e-06 2.29762e+25 -2.66688 4.49747 263.199 
-0.000700013 1.85185e-06 2.08993e+25 32.2175 -1.57403 261.566 
-0.000700013 5.55556e-06 2.26857e+25 33.206 1.35701 251.098 
-0.000700013 9.25926e-06 2.36443e+25 15.2583 0.447085 244.488 
-0.000625727 1.85185e-06 2.35717e+25 51.461 1.63693 298.223 
-0.000625727 5.55556e-06 2.65199e+25 38.0463 -1.27265 261.282 
-0.000625727 9.25926e-06 2.58809e+25 43.4115 -7.96558 259.201 
-0.000551442 1.85185e-06 2.63021e+25 53.039 -5.0442 275.17 
-0.000551442 5.55556e-06 2.47916e+25 56.6843 2.77248 273.397 
-0.000551442 9.25926e-06 2.5024e+25 68.82 -7.67188 273.331 
-0.000774298 1.2963e-05 2.21048e+25 -6.94551 1.87124 238.593 
-0.000774298 1.66667e-05 2.38476e+25 25.2764 1.7634 236.956 
-0.000774298 2.03704e-05 2.51547e+25 47.5584 4.49628 229.437 
-0.000700013 1.2963e-05 2.27293e+25 27.6666 2.76603 253.793 
-0.000700013 1.66667e-05 2.29181e+25 32.99 -0.382 237.983 
-0.000700013 2.03704e-05 2.26712e+25 24.1332 -2.02084 252.851 
-0.000625727 1.2963e-05 2.69992e+25 59.1482 -8.16799 257.255 
-0.000625727 1.66667e-05 2.54888e+25 58.4684 -12.0457 247.079 
-0.000625727 2.03704e-05 2.40945e+25 88.9107 -10.1165 257.907 
-0.000551442 1.2963e-05 2.66797e+25 74.69 -2.35943 269.728 
-0.000551442 1.66667e-05 2.45738e+25 82.351 -7.06754 298.808 
-0.000551442 2.03704e-05 2.43414e+25 105.588 -2.43105 286.189 
-0.000774298 2.40741e-05 2.39348e+25 42.1846 4.05372 235.235 
-0.000774298 2.77778e-05 2.38331e+25 26.5845 11.0818 241.548 
-0.000774298 3.14815e-05 2.44286e+25 29.9728 9.26486 234.37 
-0.000700013 2.40741e-05 2.49514e+25 32.9189 3.77119 244.675 
-0.000700013 2.77778e-05 2.44576e+25 39.8098 -4.10306 243.116 
-0.000700013 3.14815e-05 2.5939e+25 71.3284 -0.236344 236.66 
-0.000625727 2.40741e-05 2.39348e+25 94.5061 -14.3071 266.567 
-0.000625727 2.77778e-05 2.41526e+25 86.0369 -14.3646 282.212 
